Lat,Lon,Alt,Date,H2,O18,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
11.12,124.62,200.0,1998-06-14 22:00:00+00:00,-47.6,-7.15,1,0,0,0,0
37.1644591,-5.611393166,87.0,2013-03-14 23:00:00+00:00,-22.8,-3.87,0,0,1,0,0
29.35541116,34.96028149,0.0,1969-01-14 23:00:00+00:00,1.2,-1.05,0,1,0,0,0
42.033333,43.483333,1242.0,2017-07-14 22:00:00+00:00,-22.2,-3.27,0,0,0,1,0
64.69939722,-148.2525028,131.0,2004-06-09 22:00:00+00:00,-130.9,-16.63,0,0,0,1,0
-16.49888889,-68.12305556,3635.0,2000-02-14 23:00:00+00:00,-110.65,-15.47,0,0,0,0,1
48.22,11.59,489.0,1995-07-14 22:00:00+00:00,-28.3,-4.96,0,0,1,0,0
-34.05,115.0249,70.0,2007-07-30 07:00:00+00:00,-1.0,-2.04,0,0,1,0,0
52.1,5.18,2.0,1981-12-14 23:00:00+00:00,-69.2,-11.09,0,0,1,0,0
46.22030867,7.33848445,482.0,2001-06-14 22:00:00+00:00,-40.9,-5.2,0,0,1,0,0
51.83,6.25,43.0,1993-03-14 23:00:00+00:00,-49.7,-6.74,0,0,1,0,0
18.47,-70.02,60.0,1996-06-14 22:00:00+00:00,-11.35,-2.44,1,0,0,0,0
-0.37,-78.55,3058.0,2018-01-14 23:00:00+00:00,-90.2,-12.43,0,0,1,0,0
48.24861111,16.35638889,198.0,1979-01-14 23:00:00+00:00,-140.6,-19.18,0,0,0,1,0
51.1622,14.9506,238.0,2012-07-14 22:00:00+00:00,-37.8,-5.75,0,0,0,1,0
22.31666667,114.1666667,66.0,2004-08-14 22:00:00+00:00,-48.5,-7.26,0,0,1,0,0
32.63333333,-16.9,58.0,2004-10-14 22:00:00+00:00,-10.6,-1.98,0,0,1,0,0
48.8281,9.2,314.0,1983-12-14 23:00:00+00:00,-64.0,-7.92,0,0,1,0,0
33.96666667,-4.983333333,571.0,2017-01-14 23:00:00+00:00,-26.4,-5.95,0,0,1,0,0
4.036666667,9.734166667,18.0,2010-08-14 22:00:00+00:00,-1.106035282,-1.265224179,1,0,0,0,0
43.73238889,7.423583333,2.0,2014-03-14 23:00:00+00:00,-52.5,-7.43,0,0,1,0,0
39.46666667,-6.333333333,405.0,2021-04-14 22:00:00+00:00,-26.4,-4.4,0,0,1,0,0
76.76666667,-18.66666667,12.0,2010-03-14 23:00:00+00:00,-177.3,-23.37,0,0,0,0,1
-33.11011944,-64.24918333,435.0,2020-10-14 22:00:00+00:00,-2.1,-2.38,0,0,1,0,0
46.95222563,7.439320571,511.0,1986-12-14 23:00:00+00:00,-77.2,-11.0,0,0,0,1,0
51.93,-10.25,9.0,1980-10-14 22:00:00+00:00,-36.2,-5.57,0,0,1,0,0
36.83,10.23,4.0,1977-05-14 22:00:00+00:00,-4.5,0.3,0,0,1,0,0
45.46666667,13.61666667,2.0,2003-01-02 23:00:00+00:00,-23.78,-3.57,0,0,1,0,0
-22.399288,-47.543743,614.49694,2017-04-14 22:00:00+00:00,-45.5,-7.11,1,0,0,0,0
45.37,-63.27,40.0,1982-02-14 23:00:00+00:00,-86.0,-12.3,0,0,0,1,0
22.32555556,-81.18527778,10.0,1984-07-14 22:00:00+00:00,0.6,-1.12,1,0,0,0,0
22.31666667,114.1666667,66.0,2013-09-14 22:00:00+00:00,-47.2,-7.49,0,0,1,0,0
46.65772518,8.292706832,1055.0,2006-09-14 22:00:00+00:00,-90.04,-12.25,0,0,0,0,1
-15.6,-56.1,165.0,1968-09-14 22:00:00+00:00,11.0,-0.55,1,0,0,0,0
50.06166667,19.84861111,205.0,1991-05-14 22:00:00+00:00,-58.4,-9.07,0,0,0,1,0
6.906666667,79.87,7.0,1985-06-14 22:00:00+00:00,-12.3,-1.12,1,0,0,0,0
-5.22,145.8,4.0,1974-03-14 23:00:00+00:00,-66.6,-9.79,1,0,0,0,0
15.65944444,0.5,266.0,2000-07-14 22:00:00+00:00,-17.0,-3.16,0,1,0,0,0
28.276976,84.30961,2103.0,2017-08-26 06:00:00+00:00,-89.9301422,-12.78528588,0,0,1,0,0
9.357072,-75.289167,198.0,2015-06-14 22:00:00+00:00,-35.8,-5.09,1,0,0,0,0
14.97219444,-87.97477778,922.0,2009-12-14 23:00:00+00:00,-24.2,-4.94,1,0,0,0,0
-18.9,47.53,1300.0,1974-03-14 23:00:00+00:00,-64.8,-9.75,0,0,1,0,0
-33.95833333,18.46111111,105.0,2001-05-19 22:00:00+00:00,1.0,-1.22,0,0,1,0,0
33.21722222,-87.54305556,65.0,2007-12-09 23:00:00+00:00,-11.5,-2.5,0,0,1,0,0
23.95277778,90.27916667,14.0,2021-04-14 22:00:00+00:00,18.7,1.23,0,0,1,0,0
-46.42,168.32,2.0,2014-12-14 23:00:00+00:00,-40.7,-5.82,0,0,1,0,0
49.19472222,-123.0172222,4.3,2018-12-14 23:00:00+00:00,-81.8,-11.59,0,0,1,0,0
-15.6,-56.1,165.0,1965-04-14 22:00:00+00:00,-71.9,-10.8,1,0,0,0,0
28.58,77.2,212.0,1982-12-14 23:00:00+00:00,20.1,2.65,0,1,0,0,0
-16.49888889,-68.12305556,3635.0,1999-04-14 22:00:00+00:00,-99.35,-14.06,0,0,0,0,1
1.685556,33.616389,1038.0,2019-11-14 23:00:00+00:00,-54.2,-7.89,1,0,0,0,0
68.78666667,-81.25,8.0,1989-04-14 22:00:00+00:00,-227.8,-30.74,0,0,0,0,1
58.38277778,21.81416667,6.0,2016-09-14 22:00:00+00:00,-45.7,-6.35,0,0,0,1,0
51.93,-10.25,9.0,1963-01-14 23:00:00+00:00,-47.7,-7.6,0,0,1,0,0
44.42,8.85,2.0,1985-04-14 22:00:00+00:00,-8.6,-2.38,0,0,1,0,0
45.80666667,15.97,165.0,1984-08-14 22:00:00+00:00,-37.5,-5.84,0,0,0,1,0
36.78,3.052222222,180.0,2002-12-14 23:00:00+00:00,-47.6,-7.19,0,0,1,0,0
43.49111613,-3.800555816,52.0,2016-11-14 23:00:00+00:00,-46.2,-8.13,0,0,1,0,0
-21.2,-159.8,6.0,1981-08-14 22:00:00+00:00,-3.1,-1.9,1,0,0,0,0
47.4828,11.0622,719.0,2006-04-14 22:00:00+00:00,-79.3,-10.01,0,0,0,1,0
-17.83,31.02,1471.0,1975-01-14 23:00:00+00:00,-21.5,-4.61,0,0,1,0,0
-16.00555556,-69.7,3825.0,2000-01-14 23:00:00+00:00,-112.2,-15.66,0,0,1,0,0
50.4972,9.9428,921.0,1995-08-14 22:00:00+00:00,-46.5,-7.16,0,0,0,1,0
46.72738634,8.186782163,632.0,2023-08-14 22:00:00+00:00,-53.64,-7.55,0,0,0,1,0
40.80638889,-104.7547222,1641.0,1996-03-29 23:00:00+00:00,-66.0,-9.3,0,1,0,0,0
42.85,-80.27,240.0,1982-02-14 23:00:00+00:00,-104.0,-14.7,0,0,0,1,0
50.7311,13.7514,877.0,2012-12-14 23:00:00+00:00,-101.6,-14.06,0,0,0,1,0
-27.43,153.08,4.0,2004-05-14 22:00:00+00:00,-43.5,-6.52,0,0,1,0,0
52.8911,11.7294,21.0,2010-01-14 23:00:00+00:00,-86.8,-12.15,0,0,1,0,0
25.21916667,91.66277778,915.0,2007-04-02 22:00:00+00:00,5.5,-0.65,0,0,1,0,0
45.81666667,15.98333333,157.0,2000-07-14 22:00:00+00:00,-71.1,-9.0,0,0,1,0,0
47.81666667,13.71777778,1618.0,2001-08-20 22:00:00+00:00,-50.5,-8.23,0,0,0,1,0
-21.02823729,55.47161911,1184.0,2019-08-18 08:00:00+00:00,1.92,-1.819,0,0,1,0,0
7.208333333,-72.93805556,2660.0,2006-06-14 22:00:00+00:00,-44.03,-6.68,0,0,1,0,0
35.68,139.77,4.0,1968-07-14 22:00:00+00:00,-81.6,-11.43,0,0,1,0,0
51.6,-1.1,48.0,2019-09-14 22:00:00+00:00,-36.9,-5.68,0,0,1,0,0
18.37583333,-65.73277778,1.0,2005-06-12 22:00:00+00:00,-36.7,-5.75,1,0,0,0,0
-3.12,-60.02,72.0,1989-09-30 22:00:00+00:00,-5.1,-2.8,1,0,0,0,0
-65.07944444,-63.9775,20.0,1970-04-14 22:00:00+00:00,-58.1,-8.22,0,0,0,0,1
36.83,10.23,4.0,1969-01-14 23:00:00+00:00,-22.5,-4.94,0,0,1,0,0
49.82,-74.97,381.1,2002-08-14 22:00:00+00:00,-70.5,-10.12,0,0,0,1,0
-0.743055556,-90.30222222,2.0,2014-09-03 04:00:00+00:00,5.869160397,0.410057079,1,0,0,0,0
37.77,-25.65,175.0,1994-08-14 22:00:00+00:00,-5.1,-1.71,0,0,1,0,0
-0.743055556,-90.30222222,2.0,2015-05-17 04:00:00+00:00,-2.093139327,-1.712047478,1,0,0,0,0
41.05916667,-100.7463889,919.0,1992-01-03 23:00:00+00:00,-134.0,-17.6,0,0,0,1,0
-12.43,130.87,26.0,2012-02-14 23:00:00+00:00,-39.5,-6.23,1,0,0,0,0
51.6,-1.1,48.0,1993-02-14 23:00:00+00:00,-39.0,-6.4,0,0,1,0,0
28.22,-177.37,13.0,1987-08-14 22:00:00+00:00,-4.0,-1.63,1,0,0,0,0
13.52,2.09,220.0,1999-06-14 22:00:00+00:00,3.0,-1.1,0,1,0,0,0
47.81666667,13.71777778,1618.0,2002-06-08 22:00:00+00:00,-86.5,-11.98,0,0,0,1,0
37.77,-25.65,175.0,1962-02-14 23:00:00+00:00,-14.3,-4.2,0,0,1,0,0
47.7,27.88333333,231.0,2013-12-14 23:00:00+00:00,-71.49,-9.8,0,0,0,1,0
49.38,-82.12,245.0,2009-12-14 23:00:00+00:00,-187.9,-25.79,0,0,0,1,0
38.98916547,-3.920273851,628.0,2010-06-14 22:00:00+00:00,-53.72,-7.55,0,1,0,0,0
6.166666667,102.2833333,7.0,2015-07-14 22:00:00+00:00,-32.3,-5.5,1,0,0,0,0
36.15,-5.35,5.0,2017-02-14 23:00:00+00:00,-31.5,-5.74,0,0,1,0,0
47.98,-55.82,22.9,2007-08-14 22:00:00+00:00,-47.9,-6.94,0,0,0,1,0
-40.68,144.69,90.0,1985-05-14 22:00:00+00:00,-28.3,-5.62,0,0,1,0,0
69.4075,86.18055556,66.0,1990-08-14 22:00:00+00:00,-112.0,-14.8,0,0,0,1,0
10.10808333,-84.12208333,2260.0,1990-08-14 22:00:00+00:00,-54.1,-7.83,0,0,1,0,0
-34.05,115.0249,70.0,2009-06-18 07:00:00+00:00,-22.3,-4.3,0,0,1,0,0
47.8008,11.0108,977.0,1996-09-14 22:00:00+00:00,-60.3,-9.19,0,0,0,1,0
41.818399,46.266606,432.0,2014-06-14 22:00:00+00:00,-7.4,-1.85,0,0,1,0,0
51.6,-1.1,48.0,2015-02-14 23:00:00+00:00,-66.8,-9.78,0,0,1,0,0
-75.58333333,-20.56666667,30.0,1993-06-14 22:00:00+00:00,-205.8,-25.94,0,0,0,0,1
-4.37,15.25,438.0,1964-08-14 22:00:00+00:00,-0.6,-1.8,1,0,0,0,0
50.7,5.47,190.0,1968-01-14 23:00:00+00:00,-49.1,-6.94,0,0,1,0,0
-27.43,153.08,4.0,2003-07-14 22:00:00+00:00,-0.7,-2.56,0,0,1,0,0
50.3119,11.8758,565.0,1983-10-14 22:00:00+00:00,-30.5,-4.59,0,0,0,1,0
-31.48388889,145.8294444,252.0,2010-08-14 22:00:00+00:00,0.4,-1.74,0,1,0,0,0
-19.54333333,-68.60416667,3790.0,1986-01-14 23:00:00+00:00,-90.0,-12.5,0,1,0,0,0
4.427,117.9086111,360.0,2008-03-14 23:00:00+00:00,-47.75,-7.21,1,0,0,0,0
22.31666667,114.1666667,66.0,1982-01-14 23:00:00+00:00,-1.3,-2.09,0,0,1,0,0
37.1644591,-5.611393166,87.0,2010-09-14 22:00:00+00:00,-28.45,-4.44,0,0,1,0,0
-7.92,-14.42,15.0,2002-05-14 22:00:00+00:00,11.55,0.1,0,1,0,0,0
40.37,-81.8,344.0,1968-01-14 23:00:00+00:00,-81.5,-12.62,0,0,0,1,0
43.91281944,4.888775,33.0,2005-05-14 22:00:00+00:00,-29.51,-4.83,0,0,1,0,0
47.42692898,9.400776879,779.0,2006-12-14 23:00:00+00:00,-101.1064643,-14.13,0,0,1,0,0
51.3,3.75,2.0,2006-08-20 22:00:00+00:00,-44.28,-6.96,0,0,1,0,0
41.64083945,-4.754446679,735.0,2008-02-14 23:00:00+00:00,-71.7,-9.91,0,1,0,0,0
49.7703,9.9578,268.0,1987-12-14 23:00:00+00:00,-53.0,-7.05,0,0,0,1,0
2.883333333,101.7833306,26.0,2013-06-14 22:00:00+00:00,-32.0,-4.88,1,0,0,0,0
58.65,49.61666667,164.0,1981-07-14 22:00:00+00:00,-60.0,-8.1,0,0,0,1,0
51.93,-10.25,9.0,1992-02-14 23:00:00+00:00,-28.2,-4.91,0,0,1,0,0
25.62,88.66,35.0,2016-07-14 22:00:00+00:00,-46.7,-7.14,0,0,1,0,0
-0.37,35.35,2130.0,1969-07-14 22:00:00+00:00,17.5,-0.7,0,0,1,0,0
13.52,2.09,220.0,2016-07-14 22:00:00+00:00,-19.5,-3.54,0,1,0,0,0
44.42,8.85,2.0,1984-12-14 23:00:00+00:00,-44.0,-7.1,0,0,1,0,0
0.453055556,33.195,1181.0,2013-10-14 22:00:00+00:00,-0.39,-1.32,1,0,0,0,0
78.91666667,11.93333333,7.0,2011-12-14 23:00:00+00:00,-73.3,-10.52,0,0,0,0,1
-32.88,-68.85,827.0,1983-02-14 23:00:00+00:00,-49.0,-7.0,0,1,0,0,0
43.03916667,16.09055556,6.0,2001-02-14 23:00:00+00:00,-20.63,-4.2,0,0,1,0,0
13.07,123.91,285.0,1997-12-14 23:00:00+00:00,-11.9,-2.56,1,0,0,0,0
36.62,127.46,62.0,2003-11-14 23:00:00+00:00,-25.4,-5.56,0,0,0,1,0
58.65,49.61666667,164.0,1981-03-14 23:00:00+00:00,-89.0,-10.4,0,0,0,1,0
-1.55085,29.26785,2254.0,2014-10-14 22:00:00+00:00,-9.74,-3.3,0,0,1,0,0
-37.82,144.97,28.0,1986-06-14 22:00:00+00:00,-36.4,-6.95,0,0,1,0,0
36.03,129.38,6.0,1963-02-14 23:00:00+00:00,-22.9,-2.2,0,0,1,0,0
10.00036389,-84.10913333,1173.0,2013-10-12 22:00:00+00:00,-42.183,-7.249,1,0,0,0,0
44.81666667,14.98333333,1594.0,2002-07-14 22:00:00+00:00,-33.0,-7.1,0,0,1,0,0
28.22,-177.37,13.0,1969-02-14 23:00:00+00:00,-19.0,-3.49,1,0,0,0,0
13.17,100.8,26.0,1991-03-14 23:00:00+00:00,-23.1,-3.89,1,0,0,0,0
64.13,-21.93,14.0,2020-05-14 22:00:00+00:00,-48.4,-6.81,0,0,1,0,0
-6.88,39.2,55.0,1964-03-14 23:00:00+00:00,-18.6,-2.9,1,0,0,0,0
51.93,-10.25,9.0,1984-05-14 22:00:00+00:00,-32.8,-4.94,0,0,1,0,0
-0.009227778,-78.43991111,2450.0,1972-09-19 22:00:00+00:00,-44.0,-6.8,0,0,1,0,0
40.8203002,0.493333172,50.0,2012-03-14 23:00:00+00:00,-33.3,-5.64,0,1,0,0,0
