Lat,Lon,Alt,Date,H2,O18,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
-3.12,-60.02,72.0,1982-05-14 22:00:00+00:00,-44.4,-7.03,1,0,0,0,0
52.1042,8.7519,135.0,1998-02-14 23:00:00+00:00,-34.5,-5.55,0,0,1,0,0
8.92,-79.6,13.0,1979-07-14 22:00:00+00:00,-22.0,-1.7,1,0,0,0,0
46.17378583,8.788556051,379.0,2014-11-14 23:00:00+00:00,-89.6,-12.81,0,0,1,0,0
38.05011111,23.8675,498.0,2002-11-09 23:00:00+00:00,-51.0,-9.06,0,0,1,0,0
36.98,35.3,73.0,2017-04-14 22:00:00+00:00,0.9,-2.11,0,0,1,0,0
1.35,172.92,4.0,1991-04-14 22:00:00+00:00,-21.4,-4.37,1,0,0,0,0
78.91666667,11.93333333,7.0,1990-02-14 23:00:00+00:00,-67.6,-8.95,0,0,0,0,1
12.38,-5.47,360.0,2014-09-14 22:00:00+00:00,-33.5,-5.64,1,0,0,0,0
28.58,77.2,212.0,1980-03-14 23:00:00+00:00,-2.4,-1.8,0,1,0,0,0
46.29,-64.15,39.6,2003-12-14 23:00:00+00:00,-121.4,-16.68,0,0,0,1,0
11.25,75.78,20.0,2004-06-14 22:00:00+00:00,-9.83,-2.55,1,0,0,0,0
47.6772,9.19,443.0,2008-05-14 22:00:00+00:00,-53.75,-7.76,0,0,1,0,0
23.05,-82.21666667,137.0,2005-08-14 22:00:00+00:00,-10.9,-2.29,1,0,0,0,0
68.68333333,21.53,403.0,1990-07-14 22:00:00+00:00,-92.0,-12.34,0,0,0,1,0
23.64,88.85,20.0,2016-04-14 22:00:00+00:00,10.7,0.51,0,0,1,0,0
-31.75,-60.73,16.0,1999-09-14 22:00:00+00:00,14.0,0.8,0,0,1,0,0
-22.71,-46.46583333,545.0,1998-06-18 22:00:00+00:00,-2.16,-2.46,0,0,1,0,0
19.72,-155.07,9.0,1967-07-14 22:00:00+00:00,-9.8,-2.56,1,0,0,0,0
9.966666667,-85.66666667,15.0,1991-11-14 23:00:00+00:00,-32.5,-5.13,1,0,0,0,0
