Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-78.58333056,-85.41666667,3687.0,1989-12-31 23:00:00+00:00,-314.6,-40.09,POINT (-85.41666667 -78.58333056),254.0520782470703,1.7960865079658106e-05
-75.58333333,-20.56666667,30.0,1965-07-14 22:00:00+00:00,-188.8,-22.12,POINT (-20.56666667 -75.58333333),240.15625,1.1305014595563989e-05
-75.58333333,-20.56666667,30.0,1965-08-14 22:00:00+00:00,-195.7,-24.31,POINT (-20.56666667 -75.58333333),238.91665649414062,8.642672923997452e-07
-75.58333333,-20.56666667,30.0,1965-09-14 22:00:00+00:00,-155.7,-19.11,POINT (-20.56666667 -75.58333333),242.25,2.5828680350059585e-07
-75.58333333,-20.56666667,30.0,1965-10-14 22:00:00+00:00,-166.7,-19.7,POINT (-20.56666667 -75.58333333),240.92709350585938,0.0
-75.58333333,-20.56666667,30.0,1966-01-14 23:00:00+00:00,-99.2,-10.58,POINT (-20.56666667 -75.58333333),262.09375,0.0
-75.58333333,-20.56666667,30.0,1966-02-14 23:00:00+00:00,-117.8,-13.8,POINT (-20.56666667 -75.58333333),259.86456298828125,2.0464260160224512e-05
-75.58333333,-20.56666667,30.0,1966-03-14 23:00:00+00:00,-93.0,-11.8,POINT (-20.56666667 -75.58333333),259.15625,0.00011997421825071797
-75.58333333,-20.56666667,30.0,1966-04-14 22:00:00+00:00,-144.7,-18.75,POINT (-20.56666667 -75.58333333),262.5104064941406,6.409485649783164e-05
-75.58333333,-20.56666667,30.0,1966-05-14 22:00:00+00:00,-170.9,-21.41,POINT (-20.56666667 -75.58333333),243.10415649414062,6.377696990966797e-06
-75.58333333,-20.56666667,30.0,1966-06-14 22:00:00+00:00,-206.1,-26.96,POINT (-20.56666667 -75.58333333),251.578125,1.659989356994629e-05
-75.58333333,-20.56666667,30.0,1966-07-14 22:00:00+00:00,-208.8,-26.53,POINT (-20.56666667 -75.58333333),253.296875,3.2385191843786743e-06
-75.58333333,-20.56666667,30.0,1966-08-14 22:00:00+00:00,-215.0,-27.95,POINT (-20.56666667 -75.58333333),246.46353149414062,0.0
-75.58333333,-20.56666667,30.0,1966-09-14 22:00:00+00:00,-169.5,-22.24,POINT (-20.56666667 -75.58333333),255.31771850585938,3.0001006052771118e-06
-75.58333333,-20.56666667,30.0,1966-10-14 22:00:00+00:00,-142.7,-17.42,POINT (-20.56666667 -75.58333333),253.36459350585938,0.00013996164489071816
-75.58333333,-20.56666667,30.0,1966-11-14 23:00:00+00:00,-137.1,-16.94,POINT (-20.56666667 -75.58333333),256.65106201171875,0.0
-75.58333333,-20.56666667,30.0,1966-12-14 23:00:00+00:00,-62.0,-5.66,POINT (-20.56666667 -75.58333333),262.65625,0.0
-75.58333333,-20.56666667,30.0,1967-01-14 23:00:00+00:00,-67.9,-9.58,POINT (-20.56666667 -75.58333333),263.73956298828125,0.0
-75.58333333,-20.56666667,30.0,1967-02-14 23:00:00+00:00,-98.9,-13.82,POINT (-20.56666667 -75.58333333),264.9479064941406,0.00016431014228146523
-75.58333333,-20.56666667,30.0,1967-03-14 23:00:00+00:00,-127.4,-17.27,POINT (-20.56666667 -75.58333333),250.2447967529297,1.5020370483398438e-05
-75.58333333,-20.56666667,30.0,1967-04-14 22:00:00+00:00,-120.1,-15.83,POINT (-20.56666667 -75.58333333),245.96353149414062,4.629293925972888e-06
-75.58333333,-20.56666667,30.0,1967-05-14 22:00:00+00:00,-184.1,-24.0,POINT (-20.56666667 -75.58333333),258.30206298828125,6.136298179626465e-05
-75.58333333,-20.56666667,30.0,1967-06-14 22:00:00+00:00,-170.2,-21.75,POINT (-20.56666667 -75.58333333),257.984375,3.667672353913076e-05
-75.58333333,-20.56666667,30.0,1967-07-14 22:00:00+00:00,-197.4,-25.19,POINT (-20.56666667 -75.58333333),240.0833282470703,3.2484529128851136e-06
-75.58333333,-20.56666667,30.0,1967-08-14 22:00:00+00:00,-198.1,-24.83,POINT (-20.56666667 -75.58333333),236.9010467529297,1.986821445143505e-07
-75.58333333,-20.56666667,30.0,1967-09-14 22:00:00+00:00,-196.1,-24.6,POINT (-20.56666667 -75.58333333),245.828125,9.934107225717526e-08
-75.58333333,-20.56666667,30.0,1967-10-14 22:00:00+00:00,-204.6,-25.44,POINT (-20.56666667 -75.58333333),252.2291717529297,1.5894570992713852e-07
-75.58333333,-20.56666667,30.0,1967-12-14 23:00:00+00:00,-68.6,-7.94,POINT (-20.56666667 -75.58333333),265.7916564941406,8.801619514997583e-06
-75.58333333,-20.56666667,30.0,1969-01-14 23:00:00+00:00,-92.8,-12.45,POINT (-20.56666667 -75.58333333),264.14581298828125,0.0
-75.58333333,-20.56666667,30.0,1969-02-14 23:00:00+00:00,-106.0,-14.05,POINT (-20.56666667 -75.58333333),262.8125,1.5000503026385559e-06
-75.58333333,-20.56666667,30.0,1969-03-14 23:00:00+00:00,-157.5,-20.8,POINT (-20.56666667 -75.58333333),250.86978149414062,1.9868215872520523e-07
-75.58333333,-20.56666667,30.0,1969-04-14 22:00:00+00:00,-131.1,-16.97,POINT (-20.56666667 -75.58333333),253.9635467529297,9.735425692269928e-07
-75.58333333,-20.56666667,30.0,1969-05-14 22:00:00+00:00,-189.0,-24.56,POINT (-20.56666667 -75.58333333),247.4010467529297,2.662340875758673e-06
-75.58333333,-20.56666667,30.0,1969-06-14 22:00:00+00:00,-180.2,-23.38,POINT (-20.56666667 -75.58333333),264.2395935058594,7.883708167355508e-05
-75.58333333,-20.56666667,30.0,1969-07-14 22:00:00+00:00,-230.5,-30.84,POINT (-20.56666667 -75.58333333),237.96875,0.0
-75.58333333,-20.56666667,30.0,1969-08-14 22:00:00+00:00,-221.1,-28.83,POINT (-20.56666667 -75.58333333),240.203125,1.4483928680419922e-05
-75.58333333,-20.56666667,30.0,1969-09-14 22:00:00+00:00,-185.8,-23.97,POINT (-20.56666667 -75.58333333),241.125,0.0
-75.58333333,-20.56666667,30.0,1969-10-14 22:00:00+00:00,-153.1,-18.46,POINT (-20.56666667 -75.58333333),263.4270935058594,7.541974628111348e-05
-75.58333333,-20.56666667,30.0,1969-11-14 23:00:00+00:00,-180.2,-23.73,POINT (-20.56666667 -75.58333333),265.875,0.00020074844360351562
-75.58333333,-20.56666667,30.0,1969-12-14 23:00:00+00:00,-64.4,-9.25,POINT (-20.56666667 -75.58333333),267.27081298828125,4.021326458314434e-05
