Lat,Lon,Alt,Date,H2,O18,geometry
-78.58333056,-85.41666667,3687.0,1990-01-01T00:00:00.0000000+01:00,-314.6,-40.09,POINT (-85.41666667 -78.58333056)
-75.58333333,-20.56666667,30.0,1965-07-15T00:00:00.0000000+02:00,-188.8,-22.12,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1965-08-15T00:00:00.0000000+02:00,-195.7,-24.31,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1965-09-15T00:00:00.0000000+02:00,-155.7,-19.11,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1965-10-15T00:00:00.0000000+02:00,-166.7,-19.7,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-01-15T00:00:00.0000000+01:00,-99.2,-10.58,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-02-15T00:00:00.0000000+01:00,-117.8,-13.8,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-03-15T00:00:00.0000000+01:00,-93.0,-11.8,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-04-15T00:00:00.0000000+02:00,-144.7,-18.75,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-05-15T00:00:00.0000000+02:00,-170.9,-21.41,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-06-15T00:00:00.0000000+02:00,-206.1,-26.96,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-07-15T00:00:00.0000000+02:00,-208.8,-26.53,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-08-15T00:00:00.0000000+02:00,-215.0,-27.95,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-09-15T00:00:00.0000000+02:00,-169.5,-22.24,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-10-15T00:00:00.0000000+02:00,-142.7,-17.42,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-11-15T00:00:00.0000000+01:00,-137.1,-16.94,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1966-12-15T00:00:00.0000000+01:00,-62.0,-5.66,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-01-15T00:00:00.0000000+01:00,-67.9,-9.58,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-02-15T00:00:00.0000000+01:00,-98.9,-13.82,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-03-15T00:00:00.0000000+01:00,-127.4,-17.27,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-04-15T00:00:00.0000000+02:00,-120.1,-15.83,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-05-15T00:00:00.0000000+02:00,-184.1,-24.0,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-06-15T00:00:00.0000000+02:00,-170.2,-21.75,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-07-15T00:00:00.0000000+02:00,-197.4,-25.19,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-08-15T00:00:00.0000000+02:00,-198.1,-24.83,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-09-15T00:00:00.0000000+02:00,-196.1,-24.6,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-10-15T00:00:00.0000000+02:00,-204.6,-25.44,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1967-12-15T00:00:00.0000000+01:00,-68.6,-7.94,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1969-01-15T00:00:00.0000000+01:00,-92.8,-12.45,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1969-02-15T00:00:00.0000000+01:00,-106.0,-14.05,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1969-03-15T00:00:00.0000000+01:00,-157.5,-20.8,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1969-04-15T00:00:00.0000000+02:00,-131.1,-16.97,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1969-05-15T00:00:00.0000000+02:00,-189.0,-24.56,POINT (-20.56666667 -75.58333333)
