Lat,Lon,Alt,Date,H2,O18,geometry
36.98,35.3,73.0,2006-05-15T00:00:00.0000000+02:00,-26.91,-4.46,POINT (35.3 36.98)
0.453055556,33.195,1181.0,2021-12-15T00:00:00.0000000+01:00,-2.3,-1.69,POINT (33.195 0.453055556)
12.37861111,-1.503111111,298.0,2005-06-15T00:00:00.0000000+02:00,-15.68,-3.67,POINT (-1.503111111 12.37861111)
39.48056611,-0.366386255,11.0,2001-05-15T00:00:00.0000000+02:00,-11.4,-1.4,POINT (-0.366386255 39.48056611)
-19.87086111,-43.96733333,857.0,2021-11-15T00:00:00.0000000+01:00,-54.6,-8.49,POINT (-43.96733333 -19.87086111)
10.00036389,-84.10913333,1173.0,2015-06-19T00:00:00.0000000+02:00,-45.535288,-4.66775425,POINT (-84.10913333 10.00036389)
46.78,23.61,330.0,2022-05-15T00:00:00.0000000+02:00,-34.3,-5.29,POINT (23.61 46.78)
58.45,92.15,78.0,1990-05-15T00:00:00.0000000+02:00,-78.0,-11.0,POINT (92.15 58.45)
48.951944,14.469722,390.0,2018-03-15T00:00:00.0000000+01:00,-113.9,-14.57,POINT (14.469722 48.951944)
80.0,-85.56,10.0,1990-04-15T00:00:00.0000000+02:00,-271.7,-33.45,POINT (-85.56 80)
46.64833333,14.31833333,450.0,1990-08-15T00:00:00.0000000+02:00,-59.9,-8.9,POINT (14.31833333 46.64833333)
48.8281,9.2,314.0,2005-06-15T00:00:00.0000000+02:00,-37.0,-4.56,POINT (9.2 48.8281)
-27.43,153.08,4.0,1982-02-15T00:00:00.0000000+01:00,-6.2,-2.37,POINT (153.08 -27.43)
-1.43,-48.48,24.0,1989-10-15T00:00:00.0000000+02:00,-6.8,-0.86,POINT (-48.48 -1.43)
1.685556,33.616389,1038.0,2017-11-15T00:00:00.0000000+01:00,-18.7,-3.94,POINT (33.616389 1.685556)
51.57,4.93,11.0,1984-03-15T00:00:00.0000000+01:00,-64.8,-9.58,POINT (4.93 51.57)
63.52,-116.0,241.0,2001-10-15T00:00:00.0000000+02:00,-180.7,-23.97,POINT (-116 63.52)
4.05,114.81,24.0,2009-01-25T00:00:00.0000000+01:00,-66.59,-9.34,POINT (114.81 4.05)
49.0422,12.1019,365.0,1994-06-15T00:00:00.0000000+02:00,-76.1,-10.63,POINT (12.1019 49.0422)
47.8008,11.0108,977.0,1996-03-15T00:00:00.0000000+01:00,-75.7,-11.6,POINT (11.0108 47.8008)
4.466666667,101.3833333,1430.0,2020-02-15T00:00:00.0000000+01:00,-31.8,-5.58,POINT (101.3833333 4.466666667)
52.88333333,-1.083333333,60.0,1987-05-15T00:00:00.0000000+02:00,-37.0,-5.7,POINT (-1.083333333 52.88333333)
47.37233597,8.083138245,397.0,2013-07-15T00:00:00.0000000+02:00,-67.97,-9.49,POINT (8.083138245 47.37233597)
