Lat,Lon,Alt,Date,H2,O18,Label,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
52.3,104.2833333,469,2011-06-14 22:00:00+00:00,-111.2,-14.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-07-14 22:00:00+00:00,-74.1,-9.7,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-08-14 22:00:00+00:00,-101.4,-14.2,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-09-14 22:00:00+00:00,-108.0,-13.1,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-10-14 22:00:00+00:00,-127.0,-17.3,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-11-14 23:00:00+00:00,-224.1,-30.1,lowData,0,0,0,1,0
52.3,104.2833333,469,2011-12-14 23:00:00+00:00,-208.7,-27.3,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-01-14 23:00:00+00:00,-218.7,-29.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-02-14 23:00:00+00:00,-207.4,-26.4,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-06-14 22:00:00+00:00,-91.8,-10.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-07-14 22:00:00+00:00,-100.8,-13.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-08-14 22:00:00+00:00,-87.1,-11.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-09-14 22:00:00+00:00,-107.9,-15.0,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-10-14 22:00:00+00:00,-225.5,-29.9,lowData,0,0,0,1,0
52.3,104.2833333,469,2012-11-14 23:00:00+00:00,-165.9,-22.3,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-01-14 23:00:00+00:00,-226.2,-29.2,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-02-14 23:00:00+00:00,-251.3,-30.7,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-03-14 23:00:00+00:00,-169.2,-21.8,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-04-14 22:00:00+00:00,-86.7,-12.6,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-05-14 22:00:00+00:00,-103.1,-12.8,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-06-14 22:00:00+00:00,-99.7,-12.7,lowData,0,0,0,1,0
52.3,104.2833333,469,2013-07-14 22:00:00+00:00,-103.6,-12.2,lowData,0,0,0,1,0
