#Data produced with Piso.AI v1.2020 and downloaded on 2026-06-01.
#Please cite Nelson Basler Kahmen; PNAS 2021 Vol. 118 No. 26 e2024107118 when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"1","Piso.AI.Site",1950-01-15,47.5,7.6,281,-11.3,-82
"2","Piso.AI.Site",1950-02-15,47.5,7.6,281,-9.8,-71
"3","Piso.AI.Site",1950-03-15,47.5,7.6,281,-8.2,-68
"4","Piso.AI.Site",1950-04-15,47.5,7.6,281,-9.5,-69
"5","Piso.AI.Site",1950-05-15,47.5,7.6,281,-7.7,-50
"6","Piso.AI.Site",1950-06-15,47.5,7.6,281,-6.3,-40
"7","Piso.AI.Site",1950-07-15,47.5,7.6,281,-5.6,-37
"8","Piso.AI.Site",1950-08-15,47.5,7.6,281,-6.8,-43
"9","Piso.AI.Site",1950-09-15,47.5,7.6,281,-7.9,-52
"10","Piso.AI.Site",1950-10-15,47.5,7.6,281,-8.3,-62
"11","Piso.AI.Site",1950-11-15,47.5,7.6,281,-11,-75
"12","Piso.AI.Site",1950-12-15,47.5,7.6,281,-13.2,-100
"13","Piso.AI.Site",1951-01-15,47.5,7.6,281,-10.7,-77
"14","Piso.AI.Site",1951-02-15,47.5,7.6,281,-11.8,-85
"15","Piso.AI.Site",1951-03-15,47.5,7.6,281,-9.8,-73
"16","Piso.AI.Site",1951-04-15,47.5,7.6,281,-8.4,-65
"17","Piso.AI.Site",1951-05-15,47.5,7.6,281,-8.3,-59
"18","Piso.AI.Site",1951-06-15,47.5,7.6,281,-7.2,-47
"19","Piso.AI.Site",1951-07-15,47.5,7.6,281,-7.3,-43
"20","Piso.AI.Site",1951-08-15,47.5,7.6,281,-7.6,-49
"21","Piso.AI.Site",1951-09-15,47.5,7.6,281,-7.7,-55
"22","Piso.AI.Site",1951-10-15,47.5,7.6,281,-11.5,-76
"23","Piso.AI.Site",1951-11-15,47.5,7.6,281,-10.9,-76
"24","Piso.AI.Site",1951-12-15,47.5,7.6,281,-10.6,-82
"25","Piso.AI.Site",1952-01-15,47.5,7.6,281,-11,-85
"26","Piso.AI.Site",1952-02-15,47.5,7.6,281,-12.1,-87
"27","Piso.AI.Site",1952-03-15,47.5,7.6,281,-9.3,-72
"28","Piso.AI.Site",1952-04-15,47.5,7.6,281,-8.9,-63
"29","Piso.AI.Site",1952-05-15,47.5,7.6,281,-7.6,-54
"30","Piso.AI.Site",1952-06-15,47.5,7.6,281,-6.5,-41
