Year,Month,ENSO,NAO
1951,JAN,2.5,0.08
1952,JAN,-1.5,0.93
1953,JAN,0.5,0.33
1954,JAN,1.1,0.37
1955,JAN,-0.9,-1.84
1956,JAN,2.2,-0.22
1957,JAN,1.0,1.05
1958,JAN,-3.1,-0.54
1959,JAN,-1.5,-0.87
1960,JAN,0.2,-1.29
1961,JAN,-0.4,0.41
1962,JAN,3.3,0.61
1963,JAN,1.7,-2.12
1964,JAN,-0.6,-0.95
1965,JAN,-0.7,-0.12
1966,JAN,-2.2,-1.74
1967,JAN,2.8,-0.89
1968,JAN,0.9,0.13
1969,JAN,-2.4,-0.83
1970,JAN,-1.9,-1.5
1971,JAN,0.6,-1.13
1972,JAN,0.8,0.27
1973,JAN,-0.5,0.04
1974,JAN,4.0,1.34
1975,JAN,-0.8,0.58
1976,JAN,2.3,-0.25
1977,JAN,-0.7,-1.04
1978,JAN,-0.5,0.66
1979,JAN,-0.7,-1.38
1980,JAN,0.7,-0.75
1981,JAN,0.6,0.37
1982,JAN,2.0,-0.89
1983,JAN,-5.8,1.59
1984,JAN,0.3,1.66
1985,JAN,-0.5,-1.61
1986,JAN,1.6,1.11
1987,JAN,-1.1,-1.15
1988,JAN,-0.2,1.02
1989,JAN,2.5,1.17
1990,JAN,-0.1,1.04
1991,JAN,1.0,0.86
1992,JAN,-4.7,-0.13
1993,JAN,-1.5,1.6
1994,JAN,-0.2,1.04
1995,JAN,-0.7,0.93
1996,JAN,1.6,-0.12
1997,JAN,0.8,-0.49
1998,JAN,-4.4,0.39
1999,JAN,3.0,0.77
2000,JAN,1.1,0.6
2001,JAN,1.6,0.25
2002,JAN,0.7,0.44
2003,JAN,-0.3,0.16
2004,JAN,-2.2,-0.29
2005,JAN,0.6,1.52
2006,JAN,2.7,1.27
2007,JAN,-1.3,0.22
2008,JAN,2.9,0.89
2009,JAN,1.8,-0.01
2010,JAN,-1.8,-1.11
2011,JAN,3.8,-0.88
2012,JAN,1.8,1.17
2013,JAN,-0.1,0.35
2014,JAN,2.4,0.29
2015,JAN,-1.4,1.79
2016,JAN,-3.6,0.12
2017,JAN,0.3,0.48
2018,JAN,1.8,1.44
2019,JAN,-0.1,0.59
2020,JAN,0.3,1.34
2021,JAN,3.2,-1.11
2022,JAN,0.8,1.08
2023,JAN,2.3,1.25
2024,JAN,0.8,0.21
2025,JAN,0.3,-0.52
1951,FEB,1.5,0.7
1952,FEB,-1.0,-0.83
1953,FEB,-0.8,-0.49
1954,FEB,-0.5,0.74
1955,FEB,3.1,-1.12
1956,FEB,2.7,-1.12
1957,FEB,-0.1,0.11
1958,FEB,-0.8,-1.06
1959,FEB,-2.3,0.68
1960,FEB,0.2,-1.89
1961,FEB,1.5,0.45
1962,FEB,-0.5,0.55
1963,FEB,0.9,-0.96
1964,FEB,0.1,-1.43
1965,FEB,0.7,-1.55
1966,FEB,-0.4,-1.39
1967,FEB,2.8,0.19
1968,FEB,2.1,-1.29
1969,FEB,-0.9,-1.55
1970,FEB,-1.7,0.64
1971,FEB,3.3,0.24
1972,FEB,1.8,0.32
1973,FEB,-2.3,0.85
1974,FEB,3.4,-0.14
1975,FEB,1.3,-0.62
1976,FEB,2.8,0.93
1977,FEB,2.0,-0.49
1978,FEB,-4.4,-2.2
1979,FEB,1.6,-0.67
1980,FEB,0.5,0.05
1981,FEB,-0.3,0.92
1982,FEB,0.4,1.15
1983,FEB,-6.0,-0.53
1984,FEB,1.4,0.72
1985,FEB,2.0,-0.49
1986,FEB,-1.7,-1.0
1987,FEB,-2.1,-0.73
1988,FEB,-0.6,0.76
1989,FEB,2.0,2.0
1990,FEB,-3.0,1.41
1991,FEB,0.4,1.04
1992,FEB,-1.5,1.07
1993,FEB,-1.2,0.5
1994,FEB,0.4,0.46
1995,FEB,-0.2,1.14
1996,FEB,0.4,-0.07
1997,FEB,2.9,1.7
1998,FEB,-3.4,-0.11
1999,FEB,1.6,0.29
2000,FEB,2.7,1.7
2001,FEB,2.8,0.45
2002,FEB,1.8,1.1
2003,FEB,-1.1,0.62
2004,FEB,2.0,-0.14
2005,FEB,-5.2,-0.06
2006,FEB,0.2,-0.51
2007,FEB,-0.1,-0.47
2008,FEB,4.4,0.73
2009,FEB,3.1,0.06
2010,FEB,-2.4,-1.98
2011,FEB,4.5,0.7
2012,FEB,0.8,0.42
2013,FEB,-0.4,-0.45
2014,FEB,0.1,1.34
2015,FEB,0.4,1.32
2016,FEB,-3.2,1.58
2017,FEB,-0.1,1.0
2018,FEB,-0.8,1.58
2019,FEB,-2.3,0.29
2020,FEB,-0.1,1.26
2021,FEB,2.5,0.14
2022,FEB,1.8,1.68
2023,FEB,2.3,0.92
2024,FEB,-2.3,1.09
2025,FEB,0.9,1.6
1951,MAR,-0.2,-1.02
1952,MAR,0.9,-1.49
1953,MAR,-0.3,-0.04
1954,MAR,0.4,-0.83
1955,MAR,1.1,-0.53
1956,MAR,2.2,-0.05
1957,MAR,0.3,-1.26
1958,MAR,0.4,-1.96
1959,MAR,2.1,-0.15
1960,MAR,1.7,-0.5
1961,MAR,-3.0,0.55
1962,MAR,0.2,-2.47
1963,MAR,1.9,-0.43
1964,MAR,1.9,-1.2
1965,MAR,1.2,-1.51
1966,MAR,-1.5,0.56
1967,MAR,2.0,1.51
1968,MAR,0.2,0.4
1969,MAR,0.7,-1.56
1970,MAR,1.0,-0.96
1971,MAR,3.8,-0.84
1972,MAR,1.1,0.72
1973,MAR,1.2,0.3
1974,MAR,4.0,-0.03
1975,MAR,2.6,-0.61
1976,MAR,2.9,0.75
1977,MAR,-0.9,-0.81
1978,MAR,-0.3,0.7
1979,MAR,0.2,0.78
1980,MAR,-0.7,-0.31
1981,MAR,-2.1,-1.19
1982,MAR,1.0,1.15
1983,MAR,-4.0,0.95
1984,MAR,-0.4,-0.37
1985,MAR,1.3,0.2
1986,MAR,0.8,1.71
1987,MAR,-2.1,0.14
1988,MAR,1.1,-0.17
1989,MAR,1.8,1.85
1990,MAR,-0.7,1.46
1991,MAR,-1.1,-0.2
1992,MAR,-3.3,0.87
1993,MAR,-0.8,0.67
