Lat,Lon,Alt,Year,JulianDay_Sin,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0.4,-1.28,-14.0,-111.2,-7.8688774,-54.232136
52.3,104.2833333,427.25,2011,-0.2135209154397959,1.6,-1.51,-9.7,-74.1,-12.443241,-92.4666
52.3,104.2833333,427.25,2011,-0.680773409477016,0.7,-1.35,-14.2,-101.4,-13.456455,-100.93547
52.3,104.2833333,427.25,2011,-0.9587178169872964,1.7,0.54,-13.1,-108.0,-15.925632,-121.5739
52.3,104.2833333,427.25,2011,-0.9741004551724206,1.2,0.39,-17.3,-127.0,-12.911533,-96.38078
52.3,104.2833333,427.25,2011,-0.7236440382959123,1.8,1.36,-30.1,-224.1,-13.260624,-99.29863
52.3,104.2833333,427.25,2011,-0.2884824328806098,4.1,2.52,-27.3,-208.7,-16.947361,-130.11394
52.3,104.2833333,427.25,2012,0.2386727660059501,1.8,1.17,-29.0,-218.7,-15.074192,-114.4572
52.3,104.2833333,427.25,2012,0.6994583270516471,0.8,0.42,-26.4,-207.4,-12.324039,-91.47026
52.3,104.2833333,427.25,2012,0.2802306751992159,-0.7,-2.53,-10.0,-91.8,-8.820362,-62.185047
52.3,104.2833333,427.25,2012,-0.23030567023061196,-0.1,-1.32,-13.0,-100.8,-9.177967,-65.17406
52.3,104.2833333,427.25,2012,-0.6932812268869771,-0.3,-0.98,-11.0,-87.1,-14.435612,-109.119675
52.3,104.2833333,427.25,2012,-0.9634705485641486,0.4,-0.59,-15.0,-107.9,-14.086521,-106.20183
52.3,104.2833333,427.25,2012,-0.970063921851507,0.5,-2.06,-29.9,-225.5,-11.642887,-85.7769
52.3,104.2833333,427.25,2012,-0.7116566222817751,0.4,-0.58,-22.3,-165.9,-12.417698,-92.2531
52.3,104.2833333,427.25,2013,0.2386727660059501,-0.1,0.35,-29.2,-226.2,-12.941334,-96.62987
52.3,104.2833333,427.25,2013,0.6994583270516471,-0.4,-0.45,-30.7,-251.3,-9.735661,-69.835495
52.3,104.2833333,427.25,2013,0.9510565162951535,2.5,-1.61,-21.8,-169.2,-11.076679,-81.0443
52.3,104.2833333,427.25,2013,0.9760105506323683,0.4,0.69,-12.6,-86.7,-12.792332,-95.384445
52.3,104.2833333,427.25,2013,0.741222010848596,1.3,0.57,-12.8,-103.1,-11.332111,-83.179306
52.3,104.2833333,427.25,2013,0.29671281927349075,2.0,0.52,-12.7,-99.7,-16.061863,-122.71257
52.3,104.2833333,427.25,2013,-0.2135209154397959,1.3,0.67,-12.2,-103.6,-11.698231,-86.23949
52.3,104.2833333,427.25,2013,-0.680773409477016,0.3,0.97,-10.9,-86.0,-13.788517,-103.71098
52.3,104.2833333,427.25,2013,-0.9587178169872964,0.5,0.24,-15.7,-117.2,-14.665501,-111.04118
52.3,104.2833333,427.25,2013,-0.9741004551724206,-0.1,-1.28,-16.3,-120.7,-14.31641,-108.12334
52.3,104.2833333,427.25,2014,-0.2884824328806098,-0.9,1.86,-29.6,-230.5,-10.825504,-78.94487
52.3,104.2833333,427.25,2015,0.2386727660059501,-1.4,1.79,-27.6,-215.2,-10.118809,-73.03801
52.3,104.2833333,427.25,2015,0.6994583270516471,0.4,1.32,-25.9,-211.2,-13.286167,-99.51213
52.3,104.2833333,427.25,2015,0.9510565162951535,-1.2,1.45,-21.7,-175.3,-13.226566,-99.01396
52.3,104.2833333,427.25,2015,0.9760105506323683,-0.1,0.73,-15.3,-112.3,-12.903019,-96.309616
52.3,104.2833333,427.25,2015,0.741222010848596,-1.2,0.15,-10.7,-84.6,-11.366169,-83.463974
52.3,104.2833333,427.25,2015,0.29671281927349075,-0.9,-0.07,-14.3,-107.2,-9.756947,-70.01341
52.3,104.2833333,427.25,2015,-0.2135209154397959,-1.9,-3.18,-9.4,-61.8,-12.4091835,-92.18193
52.3,104.2833333,427.25,2015,-0.680773409477016,-2.4,-0.76,-12.1,-85.6,-12.545414,-93.3206
52.3,104.2833333,427.25,2015,-0.9587178169872964,-2.7,-0.65,-16.3,-127.3,-14.171665,-106.9135
52.3,104.2833333,427.25,2015,-0.9741004551724206,-2.8,0.44,-20.7,-158.7,-13.422398,-100.6508
52.3,104.2833333,427.25,2015,-0.7236440382959123,-0.8,1.74,-21.3,-169.8,-12.762531,-95.13536
52.3,104.2833333,427.25,2015,-0.2884824328806098,-0.9,2.24,-25.5,-201.8,-10.689274,-77.8062
52.3,104.2833333,427.25,2016,0.2386727660059501,-3.6,0.12,-33.8,-269.6,-19.527225,-151.67754
52.3,104.2833333,427.25,2016,0.6994583270516471,-3.2,1.58,-26.1,-209.1,-17.143192,-131.75078
52.3,104.2833333,427.25,2016,0.9562348265919056,-0.1,0.73,-26.0,-202.9,-12.898762,-96.27403
52.3,104.2833333,427.25,2016,0.9721181966290613,-2.0,0.38,-12.5,-102.1,-14.89539,-112.96269
52.3,104.2833333,427.25,2016,0.7295575540864875,0.7,-0.77,-16.4,-124.2,-8.539387,-59.836536
52.3,104.2833333,427.25,2016,0.2802306751992159,1.1,-0.43,-12.4,-103.6,-8.613888,-60.459248
52.3,104.2833333,427.25,2016,-0.23030567023061196,0.7,-1.76,-10.9,-82.7,-10.940449,-79.905624
52.3,104.2833333,427.25,2016,-0.6932812268869771,1.2,-1.65,-12.1,-89.8,-13.1669655,-98.51579
52.3,104.2833333,427.25,2016,-0.9634705485641486,2.0,0.61,-14.6,-109.1,-17.049534,-130.96794
52.3,104.2833333,427.25,2016,-0.970063921851507,-0.4,0.41,-27.5,-202.8,-13.575657,-101.93181
52.3,104.2833333,427.25,2016,-0.7116566222817751,-0.2,-0.16,-27.8,-210.5,-13.618229,-102.28764
52.3,104.2833333,427.25,2016,-0.27195815753410524,0.5,0.48,-26.4,-201.1,-10.250782,-74.1411
52.3,104.2833333,427.25,2012,-0.27195815753410524,-1.0,0.17,-35.1,-262.7,-11.298054,-82.89464
52.3,104.2833333,427.25,2017,0.9510565162951535,1.5,0.74,-17.6,-126.8,-11.574772,-85.207565
52.3,104.2833333,427.25,2017,0.9760105506323683,-0.3,1.73,-20.9,-152.0,-11.996235,-88.73033
52.3,104.2833333,427.25,2017,0.2386727660059501,0.3,0.48,-30.3,-230.6,-11.310825,-83.00139
52.3,104.2833333,427.25,2017,0.6994583270516471,-0.1,1.0,-25.9,-194.9,-14.469669,-109.40434
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,-2.2,-0.29,-11.9,-88.50962751,-12.8093605,-95.52678
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,2.0,-0.14,-9.88,-66.74413536,-10.395527,-75.35094
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0.7,1.02,-9.69,-71.5587575,-10.680759,-77.73503
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,-1.5,1.15,-6.1,-40.66799847,-7.151539,-48.236317
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,1.7,0.19,-7.01,-50.25006643,-9.518543,-68.02074
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,-1.4,-0.89,-7.21,-53.83051048,-5.8384356,-38.01262
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,-0.8,1.13,-5.49,-34.72560691,-4.486863,-25.963829
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,-0.5,-0.48,-4.8,-31.50057387,-7.011051,-47.06206
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,-0.6,0.38,-4.92,-31.38678091,-7.1047096,-47.8449
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,-0.1,-1.1,-10.75,-76.42100974,-8.769276,-61.758045
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,-1.1,0.73,-10.49,-75.39648751,-10.165638,-73.42943
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,-1.3,1.21,-13.22,-98.71358212,-10.791447,-78.6602
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0.6,1.52,-6.66,-42.77138547,-9.143909,-64.88939
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,-5.2,-0.06,-15.78,-115.1328526,-14.554813,-110.11601
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,0.5,-1.83,-8.02,-59.70485452,-8.875706,-62.647633
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,-1.0,-0.3,-8.51,-58.19910378,-9.246082,-65.74339
47.54260867,7.58371693,304.73438,2005,0.741222010848596,-1.3,-1.25,-6.95,-48.05079866,-6.7598763,-44.962635
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0.7,-0.05,-5.24,-32.64544918,-6.751362,-44.891468
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0.3,-0.51,-5.67,-37.45673818,-6.730076,-44.71355
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,-0.6,0.37,-6.33,-43.03745941,-6.664089,-44.162006
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,0.6,0.63,-9.610421834,-68.63931346,-7.421871,-50.49587
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,2.0,-0.98,-6.38,-42.73606861,-8.020008,-55.49535
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,-0.3,-0.31,-14.2,-103.3116898,-10.28484,-74.425766
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,-0.0,-0.44,-10.79,-78.0619552,-11.113146,-82.48961
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,2.7,1.27,-10.39,-75.03694923,-11.046879,-80.79521
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,0.2,-0.51,-11.52,-90.29273588,-11.783375,-86.95116
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,2.9,-1.28,-11.23849183,-82.68571664,-11.621601,-85.59898
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,1.8,1.24,-10.61,-76.08191291,-8.181782,-56.847523
47.54260867,7.58371693,304.73438,2006,0.741222010848596,-0.8,-1.14,-8.47,-60.27743553,-7.2537117,-49.09032
