Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,0.4,-1.28,-14.0,-111.2,-13.009645,-94.18383
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,1.6,-1.51,-9.7,-74.1,-11.755957,-84.05395
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,0.7,-1.35,-14.2,-101.4,-11.909571,-85.29516
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,1.7,0.54,-13.1,-108.0,-14.357485,-105.074455
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,1.2,0.39,-17.3,-127.0,-18.985727,-142.47095
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,1.8,1.36,-30.1,-224.1,-20.779543,-156.96509
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,4.1,2.52,-27.3,-208.7,-28.747652,-221.3479
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,1.8,1.17,-29.0,-218.7,-22.920229,-174.26196
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,0.8,0.42,-26.4,-207.4,-21.146235,-159.92798
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,-0.7,-2.53,-10.0,-91.8,-12.400145,-89.259026
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,-0.1,-1.32,-13.0,-100.8,-12.811434,-92.58227
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,-0.3,-0.98,-11.0,-87.1,-11.810465,-84.49438
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,0.4,-0.59,-15.0,-107.9,-14.119631,-103.15258
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,0.5,-2.06,-29.9,-225.5,-17.419855,-129.8186
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,0.4,-0.58,-22.3,-165.9,-21.25525,-160.80884
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,-0.1,0.35,-29.2,-226.2,-23.495043,-178.9065
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,-0.4,-0.45,-30.7,-251.3,-19.253313,-144.63306
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,2.5,-1.61,-21.8,-169.2,-16.954058,-126.054924
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,0.4,0.69,-12.6,-86.7,-14.813372,-108.75805
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,1.3,0.57,-12.8,-103.1,-14.724176,-108.037346
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,2.0,0.52,-12.7,-99.7,-14.367395,-105.15453
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,1.3,0.67,-12.2,-103.6,-13.049288,-94.50414
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,0.3,0.97,-10.9,-86.0,-12.008677,-86.09594
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,0.5,0.24,-15.7,-117.2,-14.664713,-107.55688
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,-0.1,-1.28,-16.3,-120.7,-18.073954,-135.10376
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,-0.9,1.86,-29.6,-230.5,-19.273134,-144.79321
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,-1.4,1.79,-27.6,-215.2,-23.039156,-175.2229
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,0.4,1.32,-25.9,-211.2,-18.718142,-140.30884
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,264.8988,-1.2,1.45,-21.7,-175.3,-15.873804,-117.32641
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,274.89346,-0.1,0.73,-15.3,-112.3,-14.6746235,-107.636955
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,284.80615,-1.2,0.15,-10.7,-84.6,-14.119631,-103.15258
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,289.6717,-0.9,-0.07,-14.3,-107.2,-12.305994,-88.49828
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,292.13568,-1.9,-3.18,-9.4,-61.8,-10.558036,-77.083595
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,286.79733,-2.4,-0.76,-12.1,-85.6,-12.32086,-88.6184
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,279.96805,-2.7,-0.65,-16.3,-127.3,-15.180063,-111.72094
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,278.67822,-2.8,0.44,-20.7,-158.7,-15.695414,-115.885
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,271.8202,-0.8,1.74,-21.3,-169.8,-19.273134,-144.79321
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,261.45505,-0.9,2.24,-25.5,-201.8,-19.283045,-144.87329
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,237.81444,-3.6,0.12,-33.8,-269.6,-26.963747,-206.93384
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,256.34158,-3.2,1.58,-26.1,-209.1,-20.88856,-157.84595
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,273.4593,-0.1,0.73,-26.0,-202.9,-14.991762,-110.199455
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,276.23322,-2.0,0.38,-12.5,-102.1,-15.308901,-112.761955
52.3,104.2833333,427.25,2016,0.7295575540864875,0,0,0,1,0,285.2303,0.7,-0.77,-16.4,-124.2,-14.149363,-103.392815
52.3,104.2833333,427.25,2016,0.2802306751992159,0,0,0,1,0,295.30023,1.1,-0.43,-12.4,-103.6,-11.949213,-85.61547
52.3,104.2833333,427.25,2016,-0.23030567023061196,0,0,0,1,0,295.5241,0.7,-1.76,-10.9,-82.7,-12.048319,-86.41625
52.3,104.2833333,427.25,2016,-0.6932812268869771,0,0,0,1,0,291.53262,1.2,-1.65,-12.1,-89.8,-11.627119,-83.01293
52.3,104.2833333,427.25,2016,-0.9634705485641486,0,0,0,1,0,281.7547,2.0,0.61,-14.6,-109.1,-15.774698,-116.52563
52.3,104.2833333,427.25,2016,-0.970063921851507,0,0,0,1,0,278.09888,-0.4,0.41,-27.5,-202.8,-15.943178,-117.886955
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,266.15433,-0.2,-0.16,-27.8,-210.5,-19.610094,-147.51587
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,254.54556,0.5,0.48,-26.4,-201.1,-23.138262,-176.02368
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,256.0939,-1.0,0.17,-35.1,-262.7,-22.890497,-174.02173
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,260.47137,1.5,0.74,-17.6,-126.8,-16.567545,-122.93188
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,270.12485,-0.3,1.73,-20.9,-152.0,-13.693476,-99.70922
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,256.59677,0.3,0.48,-30.3,-230.6,-22.979692,-174.74243
52.3,104.2833333,427.25,2017,0.6994583270516471,0,0,0,1,0,260.36813,-0.1,1.0,-25.9,-194.9,-18.35145,-137.34595
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0,0,1,0,0,274.69434,-2.2,-0.29,-11.9,-88.50962751,-12.543848,-90.42016
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0,0,1,0,0,276.20032,2.0,-0.14,-9.88,-66.74413536,-12.182112,-87.49731
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0,0,1,0,0,279.2048,0.7,1.02,-9.69,-71.5587575,-10.001783,-69.88012
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0,0,1,0,0,284.02167,-1.5,1.15,-6.1,-40.66799847,-8.876932,-60.791256
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,0,0,1,0,0,288.99155,1.7,0.19,-7.01,-50.25006643,-8.871977,-60.751217
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0,0,1,0,0,283.889,-1.4,-0.89,-7.21,-53.83051048,-8.440866,-57.26782
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0,0,1,0,0,294.9553,-0.8,1.13,-5.49,-34.72560691,-6.381943,-40.631588
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0,0,1,0,0,292.1178,-0.5,-0.48,-4.8,-31.50057387,-6.461228,-41.272213
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0,0,1,0,0,289.50723,-0.6,0.38,-4.92,-31.38678091,-6.6098866,-42.473385
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,0,0,1,0,0,282.97815,-0.1,-1.1,-10.75,-76.42100974,-9.312998,-64.31469
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,0,0,1,0,0,282.98523,-1.1,0.73,-10.49,-75.39648751,-11.825331,-84.614494
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,0,0,1,0,0,279.3189,-1.3,1.21,-13.22,-98.71358212,-11.210875,-79.64965
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0,0,1,0,0,279.46838,0.6,1.52,-6.66,-42.77138547,-9.506254,-65.87621
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,0,0,1,0,0,280.56467,-5.2,-0.06,-15.78,-115.1328526,-15.46747,-114.043205
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,0,0,1,0,0,280.88824,0.5,-1.83,-8.02,-59.70485452,-9.213892,-63.513912
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,0,0,1,0,0,288.3,-1.0,-0.3,-8.51,-58.19910378,-8.9165745,-61.11157
47.54260867,7.58371693,304.73438,2005,0.741222010848596,0,0,1,0,0,293.8865,-1.3,-1.25,-6.95,-48.05079866,-7.930472,-53.143795
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0,0,1,0,0,293.25107,0.7,-0.05,-5.24,-32.64544918,-6.6792607,-43.03393
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0,0,1,0,0,290.88892,0.3,-0.51,-5.67,-37.45673818,-5.9805646,-37.388424
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,0,0,1,0,0,295.45166,-0.6,0.37,-6.33,-43.03745941,-6.468661,-41.33227
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,0,0,1,0,0,284.0055,0.6,0.63,-9.610421834,-68.63931346,-8.326895,-56.34692
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,0,0,1,0,0,294.28342,2.0,-0.98,-6.38,-42.73606861,-8.396269,-56.907467
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,0,0,1,0,0,278.78088,-0.3,-0.31,-14.2,-103.3116898,-12.385279,-89.13891
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,0,0,1,0,0,278.93994,-0.0,-0.44,-10.79,-78.0619552,-12.157335,-87.29711
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,0,0,1,0,0,278.52188,2.7,1.27,-10.39,-75.03694923,-11.111769,-78.84887
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,0,0,1,0,0,275.58633,0.2,-0.51,-11.52,-90.29273588,-13.188036,-95.62524
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,0,0,1,0,0,285.73444,2.9,-1.28,-11.23849183,-82.68571664,-11.270338,-80.13012
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,0,0,1,0,0,281.24936,1.8,1.24,-10.61,-76.08191291,-9.486433,-65.71606
47.54260867,7.58371693,304.73438,2006,0.741222010848596,0,0,1,0,0,288.51483,-0.8,-1.14,-8.47,-60.27743553,-7.6802297,-51.121822
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,0,0,1,0,0,291.37796,-0.4,0.84,-4.08,-26.00399436,-6.1614327,-38.84985
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,0,0,1,0,0,285.97202,-1.0,0.9,-3.64,-26.43863597,-7.224343,-47.43823
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,0,0,1,0,0,292.36548,-1.7,-1.73,-8.43,-60.3623681,-7.0880723,-46.337154
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,0,0,1,0,0,292.78403,-1.0,-1.62,-7.78,-53.80678357,-8.505285,-57.788326
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,0,0,1,0,0,285.12756,-2.1,-2.24,-6.51,-49.6066388,-8.66881,-59.109615
