Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-13.537983,-95.88893
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-9.570202,-64.69655
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-13.237614,-93.5276
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,0.0,1.7,0.54,-13.1,-108.0,-13.87711,-98.55495
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,0.0,1.2,0.39,-17.3,-127.0,-15.504917,-111.35182
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,0.0,1.8,1.36,-30.1,-224.1,-17.093967,-123.84401
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,0.0,4.1,2.52,-27.3,-208.7,-22.85912,-169.16628
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-22.616886,-167.26198
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-24.952015,-185.6194
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-12.263836,-85.87233
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-12.171787,-85.1487
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-11.314281,-78.407486
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-14.070896,-100.078384
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,0.0,0.5,-2.06,-29.9,-225.5,-15.068897,-107.92409
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,0.0,0.4,-0.58,-22.3,-165.9,-21.996769,-162.38698
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,0.0,-0.1,0.35,-29.2,-226.2,-24.060596,-178.61159
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,0.0,-0.4,-0.45,-30.7,-251.3,-21.40572,-157.7405
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,0.0,2.5,-1.61,-21.8,-169.2,-18.479542,-134.73659
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,0.0,0.4,0.69,-12.6,-86.7,-17.50092,-127.04323
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,0.0,1.3,0.57,-12.8,-103.1,-10.18063,-69.49538
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,0.0,2.0,0.52,-12.7,-99.7,-12.239613,-85.6819
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,0.0,1.3,0.67,-12.2,-103.6,-12.791904,-90.0237
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,0.0,0.3,0.97,-10.9,-86.0,-11.992535,-83.73952
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,0.0,0.5,0.24,-15.7,-117.2,-14.041828,-99.84987
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,0.0,-0.1,-1.28,-16.3,-120.7,-15.582432,-111.9612
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-19.070591,-139.38307
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,0.0,-1.4,1.79,-27.6,-215.2,-22.820362,-168.86159
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,0.0,0.4,1.32,-25.9,-211.2,-23.111042,-171.14674
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,264.8988,0.0,-1.2,1.45,-21.7,-175.3,-19.051212,-139.23073
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,274.89346,0.0,-0.1,0.73,-15.3,-112.3,-16.783909,-121.40651
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,284.80615,0.0,-1.2,0.15,-10.7,-84.6,-12.791904,-90.0237
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,289.6717,0.0,-0.9,-0.07,-14.3,-107.2,-10.771679,-74.14186
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,292.13568,0.00010476876,-1.9,-3.18,-9.4,-61.8,-8.867725,-59.174084
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,286.79733,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-13.101963,-92.4612
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,279.96805,0.0,-2.7,-0.65,-16.3,-127.3,-13.489536,-95.50807
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,278.67822,0.0,-2.8,0.44,-20.7,-158.7,-12.772526,-89.87135
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,271.8202,0.0,-0.8,1.74,-21.3,-169.8,-14.778217,-105.63893
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,261.45505,0.0,-0.9,2.24,-25.5,-201.8,-19.94263,-146.23854
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,237.81444,0.0,-3.6,0.12,-33.8,-269.6,-25.339588,-188.66628
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,256.34158,0.0,-3.2,1.58,-26.1,-209.1,-21.11504,-155.45534
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,273.4593,0.0,-0.1,0.73,-26.0,-202.9,-17.132725,-124.1487
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,276.23322,0.0,-2.0,0.38,-12.5,-102.1,-16.095966,-115.99831
52.3,104.2833333,427.25,2016,0.7295575540864875,0,0,0,1,0,285.2303,0.0,0.7,-0.77,-16.4,-124.2,-12.811283,-90.17604
52.3,104.2833333,427.25,2016,0.2802306751992159,0,0,0,1,0,295.30023,0.0,1.1,-0.43,-12.4,-103.6,-9.482998,-64.011
52.3,104.2833333,427.25,2016,-0.23030567023061196,0,0,0,1,0,295.5241,0.0,0.7,-1.76,-10.9,-82.7,-9.584736,-64.81081
52.3,104.2833333,427.25,2016,-0.6932812268869771,0,0,0,1,0,291.53262,0.0,1.2,-1.65,-12.1,-89.8,-12.5302925,-87.96706
52.3,104.2833333,427.25,2016,-0.9634705485641486,0,0,0,1,0,281.7547,6.515779e-05,2.0,0.61,-14.6,-109.1,-13.615498,-96.49831
52.3,104.2833333,427.25,2016,-0.970063921851507,0,0,0,1,0,278.09888,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-13.508915,-95.660416
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,266.15433,0.0,-0.2,-0.16,-27.8,-210.5,-16.948627,-122.70143
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,254.54556,4.3128384e-06,0.5,0.48,-26.4,-201.1,-25.02953,-186.22878
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,256.0939,0.0,-1.0,0.17,-35.1,-262.7,-24.041218,-178.45924
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,260.47137,0.0,1.5,0.74,-17.6,-126.8,-22.025837,-162.6155
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,270.12485,0.0,-0.3,1.73,-20.9,-152.0,-17.0649,-123.61549
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,256.59677,0.0,0.3,0.48,-30.3,-230.6,-23.828053,-176.78346
