Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0.0,-14.0,-111.2,-10.276203,-73.4444
52.3,104.2833333,427.25,2011,-0.2135209154397959,2.2211607e-05,-9.7,-74.1,-10.434227,-74.76123
52.3,104.2833333,427.25,2011,-0.680773409477016,4.754567e-05,-14.2,-101.4,-10.497437,-75.287964
52.3,104.2833333,427.25,2011,-0.9587178169872964,0.0,-13.1,-108.0,-12.083996,-88.50897
52.3,104.2833333,427.25,2011,-0.9741004551724206,0.0,-17.3,-127.0,-12.349476,-90.72125
52.3,104.2833333,427.25,2011,-0.7236440382959123,0.0,-30.1,-224.1,-16.464417,-125.0116
52.3,104.2833333,427.25,2011,-0.2884824328806098,0.0,-27.3,-208.7,-22.134312,-172.25958
52.3,104.2833333,427.25,2012,0.2386727660059501,5.3495005e-06,-29.0,-218.7,-23.44907,-183.21564
52.3,104.2833333,427.25,2012,0.6994583270516471,1.175598e-05,-26.4,-207.4,-19.972546,-154.2453
52.3,104.2833333,427.25,2012,0.2802306751992159,2.3862134e-05,-10.0,-91.8,-10.58593,-76.02539
52.3,104.2833333,427.25,2012,-0.23030567023061196,0.0,-13.0,-100.8,-10.6364975,-76.44678
52.3,104.2833333,427.25,2012,-0.6932812268869771,2.9586212e-05,-11.0,-87.1,-10.541683,-75.65668
52.3,104.2833333,427.25,2012,-0.9634705485641486,1.6699816e-05,-15.0,-107.9,-12.096638,-88.61432
52.3,104.2833333,427.25,2012,-0.970063921851507,0.0,-29.9,-225.5,-12.24202,-89.825806
52.3,104.2833333,427.25,2012,-0.7116566222817751,0.0,-22.3,-165.9,-14.978992,-112.63336
52.3,104.2833333,427.25,2013,0.2386727660059501,0.0,-29.2,-226.2,-23.550205,-184.05841
52.3,104.2833333,427.25,2013,0.6994583270516471,0.0,-30.7,-251.3,-19.959904,-154.13995
52.3,104.2833333,427.25,2013,0.9510565162951535,0.0,-21.8,-169.2,-16.88792,-128.54071
52.3,104.2833333,427.25,2013,0.9760105506323683,0.0,-12.6,-86.7,-17.001698,-129.48883
52.3,104.2833333,427.25,2013,0.741222010848596,0.0,-12.8,-103.1,-14.43539,-108.103455
52.3,104.2833333,427.25,2013,0.29671281927349075,0.0,-12.7,-99.7,-10.260401,-73.31271
52.3,104.2833333,427.25,2013,-0.2135209154397959,0.0,-12.2,-103.6,-10.459511,-74.971924
52.3,104.2833333,427.25,2013,-0.680773409477016,0.0,-10.9,-86.0,-10.503757,-75.34064
52.3,104.2833333,427.25,2013,-0.9587178169872964,0.0,-15.7,-117.2,-12.027107,-88.03491
52.3,104.2833333,427.25,2013,-0.9741004551724206,0.0,-16.3,-120.7,-12.2609825,-89.983826
52.3,104.2833333,427.25,2014,-0.2884824328806098,1.1362139e-05,-29.6,-230.5,-22.197521,-172.78632
52.3,104.2833333,427.25,2015,0.2386727660059501,0.0,-27.6,-215.2,-23.77776,-185.95465
52.3,104.2833333,427.25,2015,0.6994583270516471,0.0,-25.9,-211.2,-19.921978,-153.82391
52.3,104.2833333,427.25,2015,0.9510565162951535,0.0,-21.7,-175.3,-16.976414,-129.27814
52.3,104.2833333,427.25,2015,0.9760105506323683,0.0,-15.3,-112.3,-17.077549,-130.12091
52.3,104.2833333,427.25,2015,0.741222010848596,0.0,-10.7,-84.6,-14.448032,-108.2088
52.3,104.2833333,427.25,2015,0.29671281927349075,0.0,-14.3,-107.2,-10.238277,-73.12836
52.3,104.2833333,427.25,2015,-0.2135209154397959,0.00010476876,-9.4,-61.8,-10.064451,-71.67984
52.3,104.2833333,427.25,2015,-0.680773409477016,5.4737215e-05,-12.1,-85.6,-10.465832,-75.0246
52.3,104.2833333,427.25,2015,-0.9587178169872964,0.0,-16.3,-127.3,-11.951256,-87.40283
52.3,104.2833333,427.25,2015,-0.9741004551724206,0.0,-20.7,-158.7,-12.172489,-89.2464
52.3,104.2833333,427.25,2015,-0.7236440382959123,0.0,-21.3,-169.8,-16.55291,-125.74902
52.3,104.2833333,427.25,2015,-0.2884824328806098,0.0,-25.5,-201.8,-22.134312,-172.25958
52.3,104.2833333,427.25,2016,0.2386727660059501,0.0,-33.8,-269.6,-23.929462,-187.21881
52.3,104.2833333,427.25,2016,0.6994583270516471,0.0,-26.1,-209.1,-19.921978,-153.82391
52.3,104.2833333,427.25,2016,0.9562348265919056,0.0,-26.0,-202.9,-17.026981,-129.69952
52.3,104.2833333,427.25,2016,0.9721181966290613,0.0,-12.5,-102.1,-17.09019,-130.22626
52.3,104.2833333,427.25,2016,0.7295575540864875,0.0,-16.4,-124.2,-14.479637,-108.47217
52.3,104.2833333,427.25,2016,0.2802306751992159,0.0,-12.4,-103.6,-10.592251,-76.078064
52.3,104.2833333,427.25,2016,-0.23030567023061196,0.0,-10.9,-82.7,-10.402622,-74.49786
52.3,104.2833333,427.25,2016,-0.6932812268869771,0.0,-12.1,-89.8,-10.472153,-75.07727
52.3,104.2833333,427.25,2016,-0.9634705485641486,6.515779e-05,-14.6,-109.1,-11.748985,-85.717285
52.3,104.2833333,427.25,2016,-0.970063921851507,3.4144956e-05,-27.5,-202.8,-11.970219,-87.56085
52.3,104.2833333,427.25,2016,-0.7116566222817751,0.0,-27.8,-210.5,-14.770401,-110.89514
52.3,104.2833333,427.25,2016,-0.27195815753410524,4.3128384e-06,-26.4,-201.1,-23.12038,-180.47662
52.3,104.2833333,427.25,2012,-0.27195815753410524,0.0,-35.1,-262.7,-23.411144,-182.8996
52.3,104.2833333,427.25,2017,0.9510565162951535,0.0,-17.6,-126.8,-17.026981,-129.69952
52.3,104.2833333,427.25,2017,0.9760105506323683,0.0,-20.9,-152.0,-17.115475,-130.43695
52.3,104.2833333,427.25,2017,0.2386727660059501,0.0,-30.3,-230.6,-24.017956,-187.95624
52.3,104.2833333,427.25,2017,0.6994583270516471,0.0,-25.9,-194.9,-19.921978,-153.82391
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0.0,-11.9,-88.50962751,-10.680744,-76.81549
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0.0,-9.88,-66.74413536,-10.706028,-77.026184
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0.0,-9.69,-71.5587575,-8.604311,-59.512302
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0.0001690366,-6.1,-40.66799847,-8.686483,-60.197056
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,3.2743297e-05,-7.01,-50.25006643,-7.0019493,-46.15961
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0.00010311205,-7.21,-53.83051048,-6.3524714,-40.747425
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0.00014510812,-5.49,-34.72560691,-6.7633333,-44.171192
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0.0,-4.8,-31.50057387,-6.245015,-39.85198
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0.0,-4.92,-31.38678091,-7.807871,-52.87546
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,7.0730985e-06,-10.75,-76.42100974,-8.541101,-58.98557
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,0.0,-10.49,-75.39648751,-10.883015,-78.50104
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,3.385527e-05,-13.22,-98.71358212,-11.224346,-81.3454
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0.00014786229,-6.66,-42.77138547,-10.45319,-74.91925
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,3.187112e-05,-15.78,-115.1328526,-10.775558,-77.60559
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,3.2876374e-05,-8.02,-59.70485452,-8.6612,-59.986362
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,0.0,-8.51,-58.19910378,-8.658039,-59.960026
47.54260867,7.58371693,304.73438,2005,0.741222010848596,0.0,-6.95,-48.05079866,-7.2800713,-48.477238
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0.0,-5.24,-32.64544918,-5.990597,-37.731876
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0.0,-5.67,-37.45673818,-6.1533613,-39.088215
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,0.0,-6.33,-43.03745941,-6.2687187,-40.049503
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,8.993772e-05,-9.610421834,-68.63931346,-7.60244,-51.163578
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,0.0,-6.38,-42.73606861,-8.66436,-60.0127
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,4.1183062e-05,-14.2,-103.3116898,-10.826126,-78.02698
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,8.7477296e-05,-10.79,-78.0619552,-11.1800995,-80.976685
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,7.0151014e-05,-10.39,-75.03694923,-10.630177,-76.394104
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,3.0768017e-05,-11.52,-90.29273588,-10.864052,-78.34302
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,4.9994796e-05,-11.23849183,-82.68571664,-8.714928,-60.434086
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,0.0,-10.61,-76.08191291,-8.711767,-60.40775
47.54260867,7.58371693,304.73438,2006,0.741222010848596,0.00013877166,-8.47,-60.27743553,-7.2800713,-48.477238
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,7.102581e-05,-4.08,-26.00399436,-6.0364237,-38.113758
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,5.6691508e-05,-3.64,-26.43863597,-6.1675835,-39.20673
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,3.7045822e-05,-8.43,-60.3623681,-6.3019037,-40.32604
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,7.760747e-05,-7.78,-53.80678357,-7.608761,-51.21625
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,0.00011052796,-6.51,-49.6066388,-8.72757,-60.539433
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,0.0,-9.18,-67.40884533,-10.883015,-78.50104
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,0.0,-11.11,-83.72738599,-11.376049,-82.60956
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,0.0,-12.87,-93.4449454,-10.756596,-77.44757
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,1.2150103e-05,-9.46,-71.36453487,-10.965187,-79.18579
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,2.0590902e-05,-12.11,-89.32212676,-8.781298,-60.987156
47.54260867,7.58371693,304.73438,2007,0.741222010848596,3.0439389e-05,-7.87,-56.86635214,-7.3337994,-48.92496
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,0.0,-6.28,-44.71481808,-6.0222015,-37.995243
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,0.0,-6.05,-43.8169477,-6.0885715,-38.548313
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,0.0,-6.87,-44.13363048,-6.284521,-40.181187
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,0.0,-6.87,-44.13363048,-7.558193,-50.794865
47.54260867,7.58371693,304.73438,2007,-0.9741004551724206,0.0,-8.99,-60.35032291,-8.677002,-60.118046
47.54260867,7.58371693,304.73438,2007,-0.7236440382959123,5.4964064e-05,-10.78,-79.00926983,-10.895657,-78.606384
47.54260867,7.58371693,304.73438,2007,-0.2884824328806098,0.0,-8.37,-57.9994607,-11.395012,-82.76758
