Lat,Lon,Alt,Year,JulianDay_Sin,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0.0,0.4,-1.28,-14.0,-111.2,-13.8025255,-102.80315
52.3,104.2833333,427.25,2011,-0.2135209154397959,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-18.7244,-143.5844
52.3,104.2833333,427.25,2011,-0.680773409477016,4.754567e-05,0.7,-1.35,-14.2,-101.4,-20.397068,-157.44365
52.3,104.2833333,427.25,2011,-0.9587178169872964,0.0,1.7,0.54,-13.1,-108.0,-16.974827,-129.08794
52.3,104.2833333,427.25,2011,-0.9741004551724206,0.0,1.2,0.39,-17.3,-127.0,-17.042118,-129.6455
52.3,104.2833333,427.25,2011,-0.7236440382959123,0.0,1.8,1.36,-30.1,-224.1,-16.54224,-125.50365
52.3,104.2833333,427.25,2011,-0.2884824328806098,0.0,4.1,2.52,-27.3,-208.7,-15.782811,-119.21123
52.3,104.2833333,427.25,2012,0.2386727660059501,5.3495005e-06,1.8,1.17,-29.0,-218.7,-14.138982,-105.59093
52.3,104.2833333,427.25,2012,0.6994583270516471,1.175598e-05,0.8,0.42,-26.4,-207.4,-20.329777,-156.8861
52.3,104.2833333,427.25,2012,0.2802306751992159,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-10.740773,-77.43434
52.3,104.2833333,427.25,2012,-0.23030567023061196,0.0,-0.1,-1.32,-13.0,-100.8,-18.25336,-139.6815
52.3,104.2833333,427.25,2012,-0.6932812268869771,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-17.830387,-136.17686
52.3,104.2833333,427.25,2012,-0.9634705485641486,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-17.10941,-130.20305
52.3,104.2833333,427.25,2012,-0.970063921851507,0.0,0.5,-2.06,-29.9,-225.5,-15.27332,-114.98973
52.3,104.2833333,427.25,2012,-0.7116566222817751,0.0,0.4,-0.58,-22.3,-165.9,-16.19617,-122.636215
52.3,104.2833333,427.25,2013,0.2386727660059501,0.0,-0.1,0.35,-29.2,-226.2,-13.494908,-100.25432
52.3,104.2833333,427.25,2013,0.6994583270516471,0.0,-0.4,-0.45,-30.7,-251.3,-18.618656,-142.70824
52.3,104.2833333,427.25,2013,0.9510565162951535,0.0,2.5,-1.61,-21.8,-169.2,-15.542485,-117.219955
52.3,104.2833333,427.25,2013,0.9760105506323683,0.0,0.4,0.69,-12.6,-86.7,-19.656864,-151.31053
52.3,104.2833333,427.25,2013,0.741222010848596,0.0,1.3,0.57,-12.8,-103.1,-21.464115,-166.2849
52.3,104.2833333,427.25,2013,0.29671281927349075,0.0,2.0,0.52,-12.7,-99.7,-18.964725,-145.57567
52.3,104.2833333,427.25,2013,-0.2135209154397959,0.0,1.3,0.67,-12.2,-103.6,-14.436986,-108.060104
52.3,104.2833333,427.25,2013,-0.680773409477016,0.0,0.3,0.97,-10.9,-86.0,-15.330998,-115.467636
52.3,104.2833333,427.25,2013,-0.9587178169872964,0.0,0.5,0.24,-15.7,-117.2,-16.148106,-122.23796
52.3,104.2833333,427.25,2013,-0.9741004551724206,0.0,-0.1,-1.28,-16.3,-120.7,-16.330753,-123.75133
52.3,104.2833333,427.25,2014,-0.2884824328806098,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-15.282933,-115.06938
52.3,104.2833333,427.25,2015,0.2386727660059501,0.0,-1.4,1.79,-27.6,-215.2,-18.82053,-144.3809
52.3,104.2833333,427.25,2015,0.6994583270516471,0.0,0.4,1.32,-25.9,-211.2,-17.320896,-131.95537
52.3,104.2833333,427.25,2015,0.9510565162951535,0.0,-1.2,1.45,-21.7,-175.3,-16.88831,-128.37108
52.3,104.2833333,427.25,2015,0.9760105506323683,0.0,-0.1,0.73,-15.3,-112.3,-17.782322,-135.77861
52.3,104.2833333,427.25,2015,0.741222010848596,0.0,-1.2,0.15,-10.7,-84.6,-15.93662,-120.48564
52.3,104.2833333,427.25,2015,0.29671281927349075,0.0,-0.9,-0.07,-14.3,-107.2,-13.379552,-99.29851
52.3,104.2833333,427.25,2015,-0.2135209154397959,0.00010476876,-1.9,-3.18,-9.4,-61.8,-13.293035,-98.58165
52.3,104.2833333,427.25,2015,-0.680773409477016,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-17.167088,-130.68095
52.3,104.2833333,427.25,2015,-0.9587178169872964,0.0,-2.7,-0.65,-16.3,-127.3,-15.984685,-120.883896
52.3,104.2833333,427.25,2015,-0.9741004551724206,0.0,-2.8,0.44,-20.7,-158.7,-14.138982,-105.59093
52.3,104.2833333,427.25,2015,-0.7236440382959123,0.0,-0.8,1.74,-21.3,-169.8,-13.985173,-104.31651
52.3,104.2833333,427.25,2015,-0.2884824328806098,0.0,-0.9,2.24,-25.5,-201.8,-15.282933,-115.06938
52.3,104.2833333,427.25,2016,0.2386727660059501,0.0,-3.6,0.12,-33.8,-269.6,-22.71381,-176.63951
52.3,104.2833333,427.25,2016,0.6994583270516471,0.0,-3.2,1.58,-26.1,-209.1,-21.560246,-167.0814
52.3,104.2833333,427.25,2016,0.9562348265919056,0.0,-0.1,0.73,-26.0,-202.9,-17.801548,-135.93791
52.3,104.2833333,427.25,2016,0.9721181966290613,0.0,-2.0,0.38,-12.5,-102.1,-16.772953,-127.41527
52.3,104.2833333,427.25,2016,0.7295575540864875,0.0,0.7,-0.77,-16.4,-124.2,-18.320652,-140.23906
52.3,104.2833333,427.25,2016,0.2802306751992159,0.0,1.1,-0.43,-12.4,-103.6,-13.043096,-96.51073
52.3,104.2833333,427.25,2016,-0.23030567023061196,0.0,0.7,-1.76,-10.9,-82.7,-17.888065,-136.65477
52.3,104.2833333,427.25,2016,-0.6932812268869771,0.0,1.2,-1.65,-12.1,-89.8,-19.01279,-145.97392
52.3,104.2833333,427.25,2016,-0.9634705485641486,6.515779e-05,2.0,0.61,-14.6,-109.1,-16.340366,-123.83098
52.3,104.2833333,427.25,2016,-0.970063921851507,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-13.600652,-101.13048
52.3,104.2833333,427.25,2016,-0.7116566222817751,0.0,-0.2,-0.16,-27.8,-210.5,-13.504521,-100.33397
52.3,104.2833333,427.25,2016,-0.27195815753410524,4.3128384e-06,0.5,0.48,-26.4,-201.1,-14.0524645,-104.87407
52.3,104.2833333,427.25,2012,-0.27195815753410524,0.0,-1.0,0.17,-35.1,-262.7,-14.436986,-108.060104
52.3,104.2833333,427.25,2017,0.9510565162951535,0.0,1.5,0.74,-17.6,-126.8,-22.127415,-171.7808
52.3,104.2833333,427.25,2017,0.9760105506323683,0.0,-0.3,1.73,-20.9,-152.0,-15.696294,-118.49437
52.3,104.2833333,427.25,2017,0.2386727660059501,0.0,0.3,0.48,-30.3,-230.6,-13.494908,-100.25432
52.3,104.2833333,427.25,2017,0.6994583270516471,0.0,-0.1,1.0,-25.9,-194.9,-16.85947,-128.13213
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0.0,-2.2,-0.29,-11.9,-88.50962751,-12.067372,-88.42616
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0.0,2.0,-0.14,-9.88,-66.74413536,-10.1687975,-72.695114
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0.0,0.7,1.02,-9.69,-71.5587575,-8.808553,-61.424515
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0.0001690366,-1.5,1.15,-6.1,-40.66799847,-10.149571,-72.53581
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,3.2743297e-05,1.7,0.19,-7.01,-50.25006643,-9.904439,-70.504715
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0.00010311205,-1.4,-0.89,-7.21,-53.83051048,-7.1628656,-47.837746
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0.00014510812,-0.8,1.13,-5.49,-34.72560691,-6.424273,-42.33805
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0.0,-0.5,-0.48,-4.8,-31.50057387,-6.532666,-42.56717
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0.0,-0.6,0.38,-4.92,-31.38678091,-7.3497744,-49.337494
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,7.0730985e-06,-0.1,-1.1,-10.75,-76.42100974,-8.726842,-60.747482
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,0.0,-1.1,0.73,-10.49,-75.39648751,-11.754949,-85.83751
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,3.385527e-05,-1.3,1.21,-13.22,-98.71358212,-9.933278,-70.74367
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0.00014786229,0.6,1.52,-6.66,-42.77138547,-8.35674,-57.680923
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,3.187112e-05,-5.2,-0.06,-15.78,-115.1328526,-13.831365,-103.0421
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,3.2876374e-05,0.5,-1.83,-8.02,-59.70485452,-7.8143854,-53.251427
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,0.0,-1.0,-0.3,-8.51,-58.19910378,-10.08228,-71.97826
47.54260867,7.58371693,304.73438,2005,0.741222010848596,0.0,-1.3,-1.25,-6.95,-48.05079866,-7.8128614,-53.453957
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0.0,0.7,-0.05,-5.24,-32.64544918,-7.133481,-47.54535
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0.0,0.3,-0.51,-5.67,-37.45673818,-6.0255785,-38.365585
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,0.0,-0.6,0.37,-6.33,-43.03745941,-5.8597536,-36.991608
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,8.993772e-05,0.6,0.63,-9.610421834,-68.63931346,-7.477147,-50.392868
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,0.0,2.0,-0.98,-6.38,-42.73606861,-8.390386,-57.9597
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,4.1183062e-05,-0.3,-0.31,-14.2,-103.3116898,-11.480977,-83.56746
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,8.7477296e-05,-0.0,-0.44,-10.79,-78.0619552,-8.462483,-58.557083
