Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.4,-1.28,-14.0,-111.2,-13.017979,-82.59171
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,1.6,-1.51,-9.7,-74.1,-13.11491,-83.27149
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,0.7,-1.35,-14.2,-101.4,-12.533321,-79.19282
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,1.7,0.54,-13.1,-108.0,-15.758495,-101.81092
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,1.2,0.39,-17.3,-127.0,-19.997044,-131.53581
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,1.8,1.36,-30.1,-224.1,-23.442516,-155.69887
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,4.1,2.52,-27.3,-208.7,-29.417019,-197.59798
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,1.8,1.17,-29.0,-218.7,-29.381771,-197.35078
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,0.8,0.42,-26.4,-207.4,-29.522762,-198.33955
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-0.7,-2.53,-10.0,-91.8,-12.788868,-80.98496
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-0.1,-1.32,-13.0,-100.8,-13.0444145,-82.77711
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-0.3,-0.98,-11.0,-87.1,-12.665501,-80.11979
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,0.4,-0.59,-15.0,-107.9,-16.516323,-107.12556
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.5,-2.06,-29.9,-225.5,-18.736935,-122.69868
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.4,-0.58,-22.3,-165.9,-27.47839,-184.0024
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-0.1,0.35,-29.2,-226.2,-28.306713,-189.81142
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-0.4,-0.45,-30.7,-251.3,-29.06454,-195.12605
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,2.5,-1.61,-21.8,-169.2,-20.111599,-132.33919
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,0.4,0.69,-12.6,-86.7,-19.054165,-124.92341
52.3,104.2833333,427.25,2013,0.741222010848596,290.72104,1.3,0.57,-12.8,-103.1,-14.040165,-89.76029
52.3,104.2833333,427.25,2013,0.29671281927349075,288.98105,2.0,0.52,-12.7,-99.7,-13.379269,-85.125435
52.3,104.2833333,427.25,2013,-0.2135209154397959,288.6188,1.3,0.67,-12.2,-103.6,-13.255901,-84.26026
52.3,104.2833333,427.25,2013,-0.680773409477016,291.16858,0.3,0.97,-10.9,-86.0,-13.026791,-82.65351
52.3,104.2833333,427.25,2013,-0.9587178169872964,282.2556,0.5,0.24,-15.7,-117.2,-16.207905,-104.96262
52.3,104.2833333,427.25,2013,-0.9741004551724206,270.29587,-0.1,-1.28,-16.3,-120.7,-19.57407,-128.5695
52.3,104.2833333,427.25,2014,-0.2884824328806098,266.30817,-0.9,1.86,-29.6,-230.5,-27.266903,-182.51924
52.3,104.2833333,427.25,2015,0.2386727660059501,254.0976,-1.4,1.79,-27.6,-215.2,-28.253841,-189.44063
52.3,104.2833333,427.25,2015,0.6994583270516471,255.59766,0.4,1.32,-25.9,-211.2,-29.24078,-196.36201
52.3,104.2833333,427.25,2015,0.9510565162951535,264.8988,-1.2,1.45,-21.7,-175.3,-21.87399,-144.6988
52.3,104.2833333,427.25,2015,0.9760105506323683,274.89346,-0.1,0.73,-15.3,-112.3,-18.234653,-119.176186
52.3,104.2833333,427.25,2015,0.741222010848596,284.80615,-1.2,0.15,-10.7,-84.6,-14.938984,-96.0637
52.3,104.2833333,427.25,2015,0.29671281927349075,289.6717,-0.9,-0.07,-14.3,-107.2,-13.56432,-86.423195
52.3,104.2833333,427.25,2015,-0.2135209154397959,292.13568,-1.9,-3.18,-9.4,-61.8,-12.004604,-75.48493
52.3,104.2833333,427.25,2015,-0.680773409477016,286.79733,-2.4,-0.76,-12.1,-85.6,-13.502636,-85.99061
52.3,104.2833333,427.25,2015,-0.9587178169872964,279.96805,-2.7,-0.65,-16.3,-127.3,-17.653065,-115.09751
52.3,104.2833333,427.25,2015,-0.9741004551724206,278.67822,-2.8,0.44,-20.7,-158.7,-18.093662,-118.187416
52.3,104.2833333,427.25,2015,-0.7236440382959123,271.8202,-0.8,1.74,-21.3,-169.8,-22.684689,-150.38423
52.3,104.2833333,427.25,2015,-0.2884824328806098,261.45505,-0.9,2.24,-25.5,-201.8,-27.407894,-183.50801
52.3,104.2833333,427.25,2016,0.2386727660059501,237.81444,-3.6,0.12,-33.8,-269.6,-28.729687,-192.77773
52.3,104.2833333,427.25,2016,0.6994583270516471,256.34158,-3.2,1.58,-26.1,-209.1,-29.751873,-199.9463
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,-0.1,0.73,-26.0,-202.9,-18.40208,-120.35035
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,-2.0,0.38,-12.5,-102.1,-18.252277,-119.29978
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,0.7,-0.77,-16.4,-124.2,-14.612942,-93.77717
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,1.1,-0.43,-12.4,-103.6,-13.282337,-84.445656
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,0.7,-1.76,-10.9,-82.7,-12.8681755,-81.541145
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,1.2,-1.65,-12.1,-89.8,-12.550945,-79.316414
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,2.0,0.61,-14.6,-109.1,-17.397518,-113.30537
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,-0.4,0.41,-27.5,-202.8,-17.468014,-113.79975
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,-0.2,-0.16,-27.8,-210.5,-24.658566,-164.227
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,0.5,0.48,-26.4,-201.1,-28.482952,-191.04738
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,-1.0,0.17,-35.1,-262.7,-27.918987,-187.0923
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,1.5,0.74,-17.6,-126.8,-24.217968,-161.1371
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,-0.3,1.73,-20.9,-152.0,-20.279026,-133.51335
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,0.3,0.48,-30.3,-230.6,-28.553448,-191.54176
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,-0.1,1.0,-25.9,-194.9,-29.082165,-195.24965
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,-2.2,-0.29,-11.9,-88.50962751,-14.815617,-95.198524
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,2.0,-0.14,-9.88,-66.74413536,-12.022228,-75.60853
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,0.7,1.02,-9.69,-71.5587575,-10.405235,-64.26858
