Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,469.0,2011.0,0.29671281927349075,-14.0,-111.2,-19.14898681640625,-147.70089721679688
52.3,104.2833333,469.0,2011.0,-0.2135209154397959,-9.7,-74.1,-17.954696655273438,-137.91354370117188
52.3,104.2833333,469.0,2011.0,-0.680773409477016,-14.2,-101.4,-17.42230224609375,-133.55050659179688
52.3,104.2833333,469.0,2011.0,-0.9587178169872964,-13.1,-108.0,-16.33592987060547,-124.64755249023438
52.3,104.2833333,469.0,2011.0,-0.9741004551724206,-17.3,-127.0,-16.213623046875,-123.64523315429688
52.3,104.2833333,469.0,2011.0,-0.7236440382959123,-30.1,-224.1,-17.35755157470703,-133.01986694335938
52.3,104.2833333,469.0,2011.0,-0.2884824328806098,-27.3,-208.7,-17.839584350585938,-136.97018432617188
52.3,104.2833333,469.0,2012.0,0.2386727660059501,-29.0,-218.7,-18.990707397460938,-146.40377807617188
52.3,104.2833333,469.0,2012.0,0.6994583270516471,-26.4,-207.4,-20.343276977539062,-157.48825073242188
52.3,104.2833333,469.0,2012.0,0.2802306751992159,-10.0,-91.8,-19.105819702148438,-147.34713745117188
52.3,104.2833333,469.0,2012.0,-0.23030567023061196,-13.0,-100.8,-17.925918579101562,-137.67770385742188
52.3,104.2833333,469.0,2012.0,-0.6932812268869771,-11.0,-87.1,-17.407913208007812,-133.43258666992188
52.3,104.2833333,469.0,2012.0,-0.9634705485641486,-15.0,-107.9,-16.307151794433594,-124.41171264648438
52.3,104.2833333,469.0,2012.0,-0.970063921851507,-29.9,-225.5,-16.256790161132812,-123.99899291992188
52.3,104.2833333,469.0,2012.0,-0.7116566222817751,-22.3,-165.9,-17.386329650878906,-133.25570678710938
52.3,104.2833333,469.0,2013.0,0.2386727660059501,-29.2,-226.2,-18.990707397460938,-146.40377807617188
52.3,104.2833333,469.0,2013.0,0.6994583270516471,-30.7,-251.3,-20.343276977539062,-157.48825073242188
52.3,104.2833333,469.0,2013.0,0.9510565162951535,-21.8,-169.2,-21.091506958007812,-163.62008666992188
52.3,104.2833333,469.0,2013.0,0.9760105506323683,-12.6,-86.7,-21.1634521484375,-164.20968627929688
52.3,104.2833333,469.0,2013.0,0.741222010848596,-12.8,-103.1,-20.4727783203125,-158.54953002929688
52.3,104.2833333,469.0,2013.0,0.29671281927349075,-12.7,-99.7,-19.163375854492188,-147.81881713867188
52.3,104.2833333,469.0,2013.0,-0.2135209154397959,-12.2,-103.6,-17.954696655273438,-137.91354370117188
52.3,104.2833333,469.0,2013.0,-0.680773409477016,-10.9,-86.0,-17.42949676513672,-133.60946655273438
52.3,104.2833333,469.0,2013.0,-0.9587178169872964,-15.7,-117.2,-16.343124389648438,-124.70651245117188
52.3,104.2833333,469.0,2013.0,-0.9741004551724206,-16.3,-120.7,-16.228012084960938,-123.76315307617188
52.3,104.2833333,469.0,2014.0,-0.2884824328806098,-29.6,-230.5,-17.853973388671875,-137.08810424804688
52.3,104.2833333,469.0,2015.0,0.2386727660059501,-27.6,-215.2,-18.990707397460938,-146.40377807617188
52.3,104.2833333,469.0,2015.0,0.6994583270516471,-25.9,-211.2,-20.343276977539062,-157.48825073242188
52.3,104.2833333,469.0,2015.0,0.9510565162951535,-21.7,-175.3,-21.091506958007812,-163.62008666992188
52.3,104.2833333,469.0,2015.0,0.9760105506323683,-15.3,-112.3,-21.1634521484375,-164.20968627929688
52.3,104.2833333,469.0,2015.0,0.741222010848596,-10.7,-84.6,-20.4727783203125,-158.54953002929688
52.3,104.2833333,469.0,2015.0,0.29671281927349075,-14.3,-107.2,-19.14898681640625,-147.70089721679688
52.3,104.2833333,469.0,2015.0,-0.2135209154397959,-9.4,-61.8,-17.969085693359375,-138.03146362304688
52.3,104.2833333,469.0,2015.0,-0.680773409477016,-12.1,-85.6,-17.42949676513672,-133.60946655273438
52.3,104.2833333,469.0,2015.0,-0.9587178169872964,-16.3,-127.3,-16.350318908691406,-124.76547241210938
