Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,O18 A,H2 A,O18 P,H2 P
64.69939722,-148.2525028,131.0,2004.0,0.36171373072976765,0.0,0.0,0.0,1.0,0.0,-16.63,-130.9,-14.193763732910156,-101.95462036132812
48.22,11.59,489.0,1995.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,-4.96,-28.3,-6.654507637023926,-43.72163391113281
52.1,5.18,2.0,1981.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-11.09,-69.2,-8.11024284362793,-54.93818664550781
46.22030867,7.33848445,482.0,2001.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,-5.2,-40.9,-7.279778480529785,-48.54027557373047
51.83,6.25,43.0,1993.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,-6.74,-49.7,-8.307950019836426,-56.463584899902344
48.24861111,16.35638889,198.0,1979.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,-19.18,-140.6,-12.811988830566406,-91.27066040039062
51.1622,14.9506,238.0,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,-5.75,-37.8,-6.978853225708008,-46.22111511230469
48.8281,9.2,314.0,1983.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-7.92,-64.0,-11.224266052246094,-78.98959350585938
76.76666667,-18.66666667,12.0,2010.0,0.9510565162951535,0.0,0.0,0.0,0.0,1.0,-23.37,-177.3,-18.400554656982422,-134.48959350585938
46.95222563,7.439320571,511.0,1986.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,-11.0,-77.2,-13.780231475830078,-98.75888061523438
51.93,-10.25,9.0,1980.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,-5.57,-36.2,-5.612334251403809,-35.69145202636719
45.46666667,13.61666667,2.0,2003.0,0.03442161162274574,0.0,0.0,1.0,0.0,0.0,-3.57,-23.78,-5.923398017883301,-38.08821105957031
45.37,-63.27,40.0,1982.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,-12.3,-86.0,-12.127738952636719,-85.97744750976562
46.65772518,8.292706832,1055.0,2006.0,-0.9587178169872964,0.0,0.0,0.0,0.0,1.0,-12.25,-90.04,-10.890445709228516,-76.40750122070312
50.06166667,19.84861111,205.0,1991.0,0.741222010848596,0.0,0.0,0.0,1.0,0.0,-9.07,-58.4,-7.726794242858887,-51.984397888183594
-46.42,168.32,2.0,2014.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-5.82,-40.7,-7.772520065307617,-52.337738037109375
49.19472222,-123.0172222,4.3,2018.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,-11.59,-81.8,-12.307106018066406,-87.36526489257812
68.78666667,-81.25,8.0,1989.0,0.9760105506323683,0.0,0.0,0.0,0.0,1.0,-30.74,-227.8,-28.85858154296875,-215.37466430664062
58.38277778,21.81416667,6.0,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,-6.35,-45.7,-9.176738739013672,-63.1588134765625
51.93,-10.25,9.0,1963.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,-7.6,-47.7,-5.612334251403809,-35.69145202636719
45.80666667,15.97,165.0,1984.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,-5.84,-37.5,-6.346088409423828,-41.34504699707031
47.4828,11.0622,719.0,2006.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,-10.01,-79.3,-11.32889175415039,-79.79678344726562
50.4972,9.9428,921.0,1995.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,-7.16,-46.5,-6.765043258666992,-44.57356262207031
