Lat,Lon,Alt,Temp,Precip,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
46.49143367,9.898180888,1724,6.623712158,4.920363449,1999,0.296712819,-8.25,-57,-9.94685,-71.36263
22.31666667,114.1666667,66,29.1,455.5,2010,-0.213520915,-8.17,-52.1,-8.707281,-60.046257
43.73238889,7.423583333,2,19,372,2000,-0.711656622,-6.5,-45,-6.718777,-45.948395
45.32,-75.67,114,17.8,130,2017,0.296712819,-8.2,-58,-7.883649,-54.052578
-0.841111111,29.94194444,1595,24.9263855,4.519368592,2005,-0.958717817,-1.69,3.2,-1.1501402,2.8851876
51.93,-10.25,9,13,112,1997,-0.974100455,-5.91,-37.2,-4.4920225,-27.300673
-26.81666667,-65.21666667,430,28.12474976,122.5,2001,-0.288482433,-1.3,5,-4.0234013,-20.041548
-1.1,-79.46166667,120,22.04366455,0,2018,0.296712819,-2.37,-17.6,-2.7055802,-11.300526
25.07,110.08,170,14.1,114,1986,-0.723644038,-5.03,-23.8,-5.162844,-28.219027
45.03527778,24.28416667,237,12.60424194,53.6,2016,-0.967937783,-8.465,-58.2,-7.9125886,-53.62424
76.76666667,-18.66666667,12,3.7,30.3,2004,-0.23030567,-12.637,-99.6,-14.955483,-115.58863
36.88,30.7,49,27.8880249,23.4,2016,0.263665493,-4.147,-30.9,-2.7562122,-12.644648
28.58,77.2,212,14.6,19,1982,0.238672766,-0.71,5.2,-1.4513947,-3.7145655
46.96666667,28.9,125,15.1,3.7,2018,0.976010551,-1.47,-16.5,-6.559705,-45.317234
-4.37,15.25,438,24.4,289,1964,-0.711656622,-2.7,-13,-5.5429373,-33.17577
-20.901,55.484,70,25.1,372.4,2021,0.976010551,-3.33,-14,-4.2447124,-22.032768
-34.05,115.0249,70,14.50341187,5.6,2013,0.361713731,-5.15,-26.4,-3.7286034,-16.027334
47.67,-124.48,21,15.55986938,31,1963,-0.958717817,-3.4,-29.2,-6.401079,-44.051792
-45.35,-72.07,310,12.3,46,1990,0.238672766,-10.5,-81,-7.319518,-54.450657
-30.08,-51.18,7,18.2,128,1974,0.741222011,-8.35,-56.9,-5.773228,-36.93546
-1.65,-78.68,2820,12.39187012,2.77060708,2019,0.951056516,-10.08,-70.8,-13.431248,-96.336685
24.9,67.13,23,30.2,49,1964,-0.693281227,-6.2,-41,-4.3841743,-29.25137
47.37233597,8.083138245,397,14.37832031,0,1996,-0.23030567,-9.38,-69.3,-6.076493,-42.37445
34.72,113.65,110,21.7,40,1991,-0.958717817,-4.83,-37.6,-7.5663185,-52.689106
43.97455,10.27266,660,21.3,2.55,2016,-0.501241813,0.61,-0.6,-3.9661474,-23.263218
45.80666667,15.97,165,2.8,38,1987,0.951056516,-10.19,-72.4,-11.300918,-83.03717
46.37222222,6.470833333,385,11.34276733,133,1999,0.296712819,-6.27,-41.1,-7.548034,-54.716366
46.60305556,13.67138889,2156,8.071679688,0.7,2018,0.816538051,-3.456,-14.08,-9.019836,-63.561356
28.50444444,-16.30333333,580,13.5,23,2008,0.989932495,-1.74,-3.64,-2.4235206,-9.309948
37.77,-25.65,175,19.2,48,1989,0.296712819,-2.59,-14.8,-2.6327224,-12.349756
50.7,5.47,190,11.89455566,92,1968,-0.963470549,-6.26,-40.7,-6.8316717,-46.040577
55.677,12.56,6,18.46352539,1.326422504,2015,-0.680773409,-6.05,-47.2,-6.350935,-45.265667
-12.43,130.87,26,28.3,220,2000,-0.271958158,-3.6,-16.4,-3.7582774,-21.564585
-7.92,-14.42,15,24.82235107,7.7,2021,-0.271958158,0.488,11.6,0.07800615,12.835678
37.21666667,28.36666667,646,19.38555298,82.1,1995,0.976010551,-8.23,-52.5,-4.8845716,-29.636545
-34.05,115.0249,70,18.70061646,19.8,2013,0.796182864,-5.75,-24,-3.4684906,-14.14476
45.32,-75.67,114,-7.347906494,60.8,2021,0.956234827,-10.559,-71,-14.321921,-105.35694
37.77,-25.65,175,18,81.4,2006,0.741222011,-5.12,-30.65,-3.1566381,-15.953751
44.051,10.164,160,11.4,527.92,2019,-0.687052767,-7.44,-47.96,-7.2584276,-49.109947
52.2914,10.4464,81,1.9,22.5,1984,-0.271958158,-7.93,-60.3,-9.309177,-68.102425
46.72738634,8.186782163,632,13.5,76.9,2003,-0.958717817,-7.51,-52.05,-8.378762,-58.822247
-0.743055556,-90.30222222,2,23.7835022,0.6,2013,-0.409355959,-0.462477986,5.627847907,-1.1462841,1.4351792
-13,28.65,1331,20.7,245,1975,0.699458327,-2.64,-5.5,-7.674018,-49.962337
10.00036389,-84.10913333,1173,24.6680542,10.92,2015,-0.945596387,-12.2419544,-87.3215183,-9.11878,-66.02764
33.65694444,73.26611111,575,16.24794922,235.8,2015,0.951056516,-7.53,-42.4,-3.1935372,-16.40125
39.95,32.88,902,19.5,37.1,2005,0.296712819,-5.05,-29.49,-4.653409,-28.252714
-22.71,-46.46583333,545,21.53557739,4.8,1996,0.88406751,-3,-8.8,-5.9189444,-34.441483
52.1,5.18,2,3.3,20.6,2009,0.849817092,-4.3,-29.32,-8.248983,-59.306736
47.81666667,13.71777778,1618,10.99767456,8.9,2020,0.871706319,-17.301,-127.61,-10.166447,-75.28965
-45.35,-72.07,310,4,125,1993,0.741222011,-13.06,-97,-10.873851,-83.808815
14.52,121,14,27.2,60,1965,-0.974100455,-6,-32,-5.528367,-35.018764
30.72916667,78.44666667,1140,12.13979492,0,2005,-0.723644038,-12.5,-90,-2.5351996,-8.282829
0.453055556,33.195,1181,22.4,268.9,2015,-0.723644038,-3.6,-14.5,-2.9350386,-11.531967
13.07176111,-59.48972222,50,24.8,60,1965,0.699458327,0.3,15,-0.34070754,7.9214644
36.15,-5.35,5,14.05587158,115,2016,0.255353295,-2.714,-9.4,-4.377287,-26.444378
41.78,-87.75,189,13.8,152,1974,0.741222011,-9.72,-67.7,-6.3105383,-41.581474
22.79777778,88.37166667,6,26.3,244.3,2006,-0.974100455,-7.6,-58,-7.6215496,-53.29577
7.954166667,38.29722222,2040,15.69838867,31,1995,-0.213520915,-2.7,-3.1,-0.94033265,3.6519508
-75.58333333,-20.56666667,30,-4.8,8,1998,0.238672766,-15.73,-118.9,-16.241724,-125.06745
31.95765,35.84828333,900,9.908746338,58.8,2001,0.699458327,-5.05,-15.6,-4.8281217,-27.451925
52.141,-106.6244,502,-11.1,11,1998,-0.288482433,-26.48,-204.51,-21.4689,-167.95561
-14.67,17.7,1348,18.76479492,0,1981,0.976010551,-3.1,-25.5,-3.0973473,-11.479883
56.93604,24.09549,2.93,10.5,76.1,2020,-0.970063922,-10.7,-73.8,-9.07637,-66.37912
-6.18,106.83,8,26.7,184,1975,0.951056516,-6.23,-39.2,-6.06404,-36.98094
-33.45,-70.7,520,8.1,32,1973,0.296712819,-9.32,-60.3,-7.2833285,-52.17654
49.881,-119.5494,500,20.2,54.8,2010,-0.060213277,-7.8,-66,-11.979173,-89.800606
-27.43,153.08,4,24.9,137,2008,0.238672766,-5.15,-30.1,-2.875853,-12.190754
-34.05,115.0249,70,18.87548218,4,2018,0.953680997,-2.32,-1.7,-2.835184,-9.422863
48.24861111,16.35638889,198,18.2,108,1983,0.296712819,-7.75,-58.1,-7.5804234,-54.787655
51.6,-1.1,48,12.1,2,2011,0.976010551,0.42,9.8,-5.6516504,-38.849373
46.60305556,13.67138889,2156,17.74700317,11.1,2002,-0.559589262,-11.04,-78.1,-7.006141,-46.96433
47.81666667,13.71777778,1618,1.610345459,6.2,2020,0.699458327,-11.708,-81.14,-12.566653,-94.25312
39.28333333,-7.416666667,597,11.1,28,2002,0.699458327,-3.62,-21,-5.834927,-36.966488
9.966666667,-84.83333333,3,27.5,97,1993,-0.213520915,-7.89,-53,-6.4040766,-43.515507
47.47051111,21.49041944,110,-5.5,12.5,2006,0.271958158,-15.1,-110.4,-14.775479,-110.49965
-27.17,-109.43,41,19.8,81.8,2011,0.741222011,-1.51,1.5,-2.5967002,-9.942476
7.47,151.85,2,27.2,311,1976,0.280230675,-7.7,-49.2,-5.788032,-38.49523
38.05011111,23.8675,498,7.8,6.6,2002,0.790945657,-3.93,-15.3,-6.24881,-39.7263
6.166666667,102.2833333,7,26.2472168,560.2,1994,0.951056516,-5.46,-35.2,-7.0100427,-42.216267
4.05,114.81,24,24.1,16.6,2010,-0.927541684,-4.86,-27.97,-7.9536943,-54.179173
52.141,-106.6244,502,19.7,52.2,2001,-0.213520915,-11.8,-94,-12.683504,-96.51894
76.76666667,-18.66666667,12,-14.5,7,1999,-0.974100455,-24.39,-182.9,-20.755936,-160.39305
50.4972,9.9428,921,12.1,84.4,2013,0.296712819,-9.06,-63.76,-7.0868397,-50.04187
