Lat,Lon,Alt,Precip,Temp,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
45.32,-75.67,114.0,130.0,17.8,0.0,0.0,0.0,1.0,0.0,2017.0,0.29671281927349075,-8.2,-58.0,-7.4318528175354,-52.55074691772461
76.76666667,-18.66666667,12.0,30.3,3.7,0.0,0.0,0.0,0.0,1.0,2004.0,-0.23030567023061196,-12.637,-99.6,-14.247404098510742,-109.2171859741211
47.67,-124.48,21.0,31.0,15.559869384765648,0.0,0.0,1.0,0.0,0.0,1963.0,-0.9587178169872964,-3.4,-29.2,-7.421106815338135,-52.49624252319336
37.77,-25.65,175.0,48.0,19.2,0.0,0.0,1.0,0.0,0.0,1989.0,0.29671281927349075,-2.59,-14.8,-3.5710911750793457,-17.89068603515625
45.32,-75.67,114.0,60.8,-7.347906494140602,0.0,0.0,0.0,1.0,0.0,2021.0,0.9562348265919056,-10.559,-71.0,-12.976509094238281,-94.8406753540039
37.77,-25.65,175.0,81.4,18.0,0.0,0.0,1.0,0.0,0.0,2006.0,0.741222010848596,-5.12,-30.65,-4.030069351196289,-20.19301414489746
41.78,-87.75,189.0,152.0,13.8,0.0,0.0,0.0,1.0,0.0,1974.0,0.741222010848596,-9.72,-67.7,-6.10944128036499,-40.88599395751953
52.141,-106.6244,502.0,11.0,-11.1,0.0,0.0,0.0,1.0,0.0,1998.0,-0.2884824328806098,-26.48,-204.51,-23.653461456298828,-187.02322387695312
49.881,-119.5494,500.0,54.8,20.2,0.0,1.0,0.0,0.0,0.0,2010.0,-0.060213277365792774,-7.8,-66.0,-12.160320281982422,-92.58216094970703
52.141,-106.6244,502.0,52.2,19.7,0.0,0.0,0.0,1.0,0.0,2001.0,-0.2135209154397959,-11.8,-94.0,-12.321706771850586,-93.79600524902344
76.76666667,-18.66666667,12.0,7.0,-14.5,0.0,0.0,0.0,0.0,1.0,1999.0,-0.9741004551724206,-24.39,-182.9,-20.188858032226562,-157.95970153808594
47.67,-124.48,21.0,279.0,6.055932617187523,0.0,0.0,1.0,0.0,0.0,1965.0,-0.9741004551724206,-7.0,-47.7,-9.544136047363281,-70.01800537109375
63.37,-135.52,504.0,8.0,-20.9,0.0,0.0,0.0,1.0,0.0,1986.0,-0.7236440382959123,-23.4,-178.0,-24.981603622436523,-197.20599365234375
64.13,-21.93,14.0,84.8,6.708184814453148,0.0,0.0,1.0,0.0,0.0,2017.0,0.7295575540864875,-2.894,-17.4,-6.977261066436768,-48.888946533203125
41.78,-87.75,189.0,168.0,25.7,0.0,0.0,0.0,1.0,0.0,1966.0,-0.2135209154397959,-4.1,-24.2,-5.129578113555908,-33.023963928222656
38.7,-27.34,200.0,91.0,14.0,0.0,0.0,1.0,0.0,0.0,1999.0,0.9510565162951535,-3.775,-18.15,-4.185911178588867,-21.762861251831055
