Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,469.0,2011.0,0.29671281927349075,-14.0,-111.2,-19.420896530151367,-152.61383056640625
52.3,104.2833333,469.0,2011.0,-0.2135209154397959,-9.7,-74.1,-19.426565170288086,-152.87677001953125
52.3,104.2833333,469.0,2011.0,-0.680773409477016,-14.2,-101.4,-19.41256332397461,-152.87013244628906
52.3,104.2833333,469.0,2011.0,-0.9587178169872964,-13.1,-108.0,-19.392061233520508,-152.75265502929688
52.3,104.2833333,469.0,2011.0,-0.9741004551724206,-17.3,-127.0,-19.38528060913086,-152.71405029296875
52.3,104.2833333,469.0,2011.0,-0.7236440382959123,-30.1,-224.1,-19.412099838256836,-152.86282348632812
52.3,104.2833333,469.0,2011.0,-0.2884824328806098,-27.3,-208.7,-19.422834396362305,-152.88279724121094
52.3,104.2833333,469.0,2012.0,0.2386727660059501,-29.0,-218.7,-19.418148040771484,-152.73194885253906
52.3,104.2833333,469.0,2012.0,0.6994583270516471,-26.4,-207.4,-19.439537048339844,-152.61326599121094
52.3,104.2833333,469.0,2012.0,0.2802306751992159,-10.0,-91.8,-19.420989990234375,-152.71853637695312
52.3,104.2833333,469.0,2012.0,-0.23030567023061196,-13.0,-100.8,-19.423261642456055,-152.8828887939453
52.3,104.2833333,469.0,2012.0,-0.6932812268869771,-11.0,-87.1,-19.413862228393555,-152.86180114746094
52.3,104.2833333,469.0,2012.0,-0.9634705485641486,-15.0,-107.9,-19.38750648498535,-152.72035217285156
52.3,104.2833333,469.0,2012.0,-0.970063921851507,-29.9,-225.5,-19.38750648498535,-152.72035217285156
52.3,104.2833333,469.0,2012.0,-0.7116566222817751,-22.3,-165.9,-19.40616226196289,-152.87835693359375
52.3,104.2833333,469.0,2013.0,0.2386727660059501,-29.2,-226.2,-19.41287612915039,-152.74307250976562
52.3,104.2833333,469.0,2013.0,0.6994583270516471,-30.7,-251.3,-19.413480758666992,-152.572509765625
52.3,104.2833333,469.0,2013.0,0.9510565162951535,-21.8,-169.2,-19.40450668334961,-152.31565856933594
52.3,104.2833333,469.0,2013.0,0.9760105506323683,-12.6,-86.7,-19.413543701171875,-152.2980194091797
52.3,104.2833333,469.0,2013.0,0.741222010848596,-12.8,-103.1,-19.42314910888672,-152.5509490966797
52.3,104.2833333,469.0,2013.0,0.29671281927349075,-12.7,-99.7,-19.420534133911133,-152.78762817382812
52.3,104.2833333,469.0,2013.0,-0.2135209154397959,-12.2,-103.6,-19.40644645690918,-152.8204803466797
52.3,104.2833333,469.0,2013.0,-0.680773409477016,-10.9,-86.0,-19.399839401245117,-152.83270263671875
52.3,104.2833333,469.0,2013.0,-0.9587178169872964,-15.7,-117.2,-19.380481719970703,-152.67189025878906
52.3,104.2833333,469.0,2013.0,-0.9741004551724206,-16.3,-120.7,-19.377262115478516,-152.6385040283203
52.3,104.2833333,469.0,2014.0,-0.2884824328806098,-29.6,-230.5,-19.394235610961914,-152.74363708496094
52.3,104.2833333,469.0,2015.0,0.2386727660059501,-27.6,-215.2,-19.386245727539062,-152.59890747070312
52.3,104.2833333,469.0,2015.0,0.6994583270516471,-25.9,-211.2,-19.372669219970703,-152.35650634765625
52.3,104.2833333,469.0,2015.0,0.9510565162951535,-21.7,-175.3,-19.349977493286133,-152.03514099121094
52.3,104.2833333,469.0,2015.0,0.9760105506323683,-15.3,-112.3,-19.352819442749023,-152.021728515625
52.3,104.2833333,469.0,2015.0,0.741222010848596,-10.7,-84.6,-19.372289657592773,-152.30967712402344
52.3,104.2833333,469.0,2015.0,0.29671281927349075,-14.3,-107.2,-19.384483337402344,-152.59991455078125
