Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,0.0,-14.0,-111.2,-17.014877319335938,-132.67271423339844
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,2.2211607e-05,-9.7,-74.1,-15.231712341308594,-117.50987243652344
52.3,104.2833333,427.25,2011.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,4.754567e-05,-14.2,-101.4,-14.901878356933594,-114.70518493652344
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,-13.1,-108.0,-15.087409973144531,-116.28282165527344
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,-17.3,-127.0,-15.09771728515625,-116.37046813964844
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,0.0,-30.1,-224.1,-15.108024597167969,-116.45811462402344
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,0.0,-27.3,-208.7,-14.664810180664062,-112.68931579589844
52.3,104.2833333,427.25,2012.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,5.3495005e-06,-29.0,-218.7,-16.92211151123047,-131.88389587402344
52.3,104.2833333,427.25,2012.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,1.175598e-05,-26.4,-207.4,-17.1591796875,-133.89976501464844
52.3,104.2833333,427.25,2012.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,2.3862134e-05,-10.0,-91.8,-16.91180419921875,-131.79624938964844
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,0.0,-13.0,-100.8,-15.334785461425781,-118.38633728027344
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,2.9586212e-05,-11.0,-87.1,-14.984336853027344,-115.40635681152344
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,1.6699816e-05,-15.0,-107.9,-14.984336853027344,-115.40635681152344
52.3,104.2833333,427.25,2012.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,0.0,-29.9,-225.5,-15.087409973144531,-116.28282165527344
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,0.0,-22.3,-165.9,-15.128639221191406,-116.63340759277344
52.3,104.2833333,427.25,2013.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-29.2,-226.2,-16.942726135253906,-132.05918884277344
