Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,283.98486,0.4,-1.28,-14.0,-111.2,-11.971179008483887,-89.11221313476562
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,296.2911,1.6,-1.51,-9.7,-74.1,-12.388121604919434,-88.42445373535156
52.3,104.2833333,427.25,2011.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,289.3462,0.7,-1.35,-14.2,-101.4,-11.465065956115723,-86.14183807373047
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,285.0388,1.7,0.54,-13.1,-108.0,-10.845690727233887,-79.7279052734375
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,270.80997,1.2,0.39,-17.3,-127.0,-17.97195816040039,-139.7554473876953
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,267.4311,1.8,1.36,-30.1,-224.1,-18.88431167602539,-147.40565490722656
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,245.5639,4.1,2.52,-27.3,-208.7,-22.23563003540039,-175.5069122314453
52.3,104.2833333,427.25,2012.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,261.34137,1.8,1.17,-29.0,-218.7,-21.34134292602539,-168.00819396972656
52.3,104.2833333,427.25,2012.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,252.67146,0.8,0.42,-26.4,-207.4,-23.37381362915039,-185.0507354736328
52.3,104.2833333,427.25,2012.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,285.04517,-0.7,-2.53,-10.0,-91.8,-12.45281982421875,-92.7866439819336
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,288.55252,-0.1,-1.32,-13.0,-100.8,-11.189115524291992,-83.48371124267578
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,293.38803,-0.3,-0.98,-11.0,-87.1,-11.756458282470703,-86.84154510498047
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,282.70758,0.4,-0.59,-15.0,-107.9,-12.058135032653809,-90.04398345947266
52.3,104.2833333,427.25,2012.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,273.24136,0.5,-2.06,-29.9,-225.5,-16.000743865966797,-123.20307159423828
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,259.9701,0.4,-0.58,-22.3,-165.9,-23.60867691040039,-187.0200958251953
52.3,104.2833333,427.25,2013.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,255.33873,-0.1,0.35,-29.2,-226.2,-23.06668472290039,-182.4754180908203
52.3,104.2833333,427.25,2013.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,262.44476,-0.4,-0.45,-30.7,-251.3,-21.74783706665039,-171.4167022705078
52.3,104.2833333,427.25,2013.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,272.0206,2.5,-1.61,-21.8,-169.2,-18.03447723388672,-131.9707489013672
