Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,-14.0,-111.2,-15.367645263671875,-121.84078979492188
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,2.2211607e-05,-9.7,-74.1,-14.933868408203125,-118.08419799804688
52.3,104.2833333,427.25,2011.0,-0.680773409477016,4.754567e-05,-14.2,-101.4,-14.820709228515625,-117.10421752929688
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,-13.1,-108.0,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,-17.3,-127.0,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,-30.1,-224.1,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,-27.3,-208.7,-14.86785888671875,-117.51254272460938
52.3,104.2833333,427.25,2012.0,0.2386727660059501,5.3495005e-06,-29.0,-218.7,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2012.0,0.6994583270516471,1.175598e-05,-26.4,-207.4,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2012.0,0.2802306751992159,2.3862134e-05,-10.0,-91.8,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,-13.0,-100.8,-14.915008544921875,-117.92086791992188
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,2.9586212e-05,-11.0,-87.1,-14.820709228515625,-117.10421752929688
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,1.6699816e-05,-15.0,-107.9,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2012.0,-0.970063921851507,0.0,-29.9,-225.5,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,0.0,-22.3,-165.9,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2013.0,0.2386727660059501,0.0,-29.2,-226.2,-15.35821533203125,-121.75912475585938
52.3,104.2833333,427.25,2013.0,0.6994583270516471,0.0,-30.7,-251.3,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2013.0,0.9510565162951535,0.0,-21.8,-169.2,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2013.0,0.9760105506323683,0.0,-12.6,-86.7,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2013.0,0.741222010848596,0.0,-12.8,-103.1,-15.414794921875,-122.24911499023438
52.3,104.2833333,427.25,2013.0,0.29671281927349075,0.0,-12.7,-99.7,-15.367645263671875,-121.84078979492188
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,0.0,-12.2,-103.6,-14.94329833984375,-118.16586303710938
52.3,104.2833333,427.25,2013.0,-0.680773409477016,0.0,-10.9,-86.0,-14.83013916015625,-117.18588256835938
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,0.0,-15.7,-117.2,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,0.0,-16.3,-120.7,-14.811279296875,-117.02255249023438
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,1.1362139e-05,-29.6,-230.5,-14.858428955078125,-117.43087768554688
