Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,283.98486,0.4,-1.28,-14.0,-111.2,-15.36447525024414,-111.4587631225586
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,296.2911,1.6,-1.51,-9.7,-74.1,-12.511493682861328,-88.7895736694336
52.3,104.2833333,427.25,2011.0,-0.680773409477016,289.3462,0.7,-1.35,-14.2,-101.4,-13.882816314697266,-99.6858139038086
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,285.0388,1.7,0.54,-13.1,-108.0,-13.181392669677734,-94.1124496459961
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,270.80997,1.2,0.39,-17.3,-127.0,-18.430248260498047,-135.81875610351562
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,267.4311,1.8,1.36,-30.1,-224.1,-21.03103256225586,-156.48403930664062
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,245.5639,4.1,2.52,-27.3,-208.7,-26.32717514038086,-198.56607055664062
52.3,104.2833333,427.25,2012.0,0.2386727660059501,261.34137,1.8,1.17,-29.0,-218.7,-23.221996307373047,-173.89297485351562
52.3,104.2833333,427.25,2012.0,0.6994583270516471,252.67146,0.8,0.42,-26.4,-207.4,-25.69668197631836,-193.55630493164062
52.3,104.2833333,427.25,2012.0,0.2802306751992159,285.04517,-0.7,-2.53,-10.0,-91.8,-14.126701354980469,-99.64381408691406
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,288.55252,-0.1,-1.32,-13.0,-100.8,-14.371448516845703,-103.5683822631836
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,293.38803,-0.3,-0.98,-11.0,-87.1,-13.268085479736328,-94.8012924194336
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,282.70758,0.4,-0.59,-15.0,-107.9,-14.765506744384766,-106.6994857788086
52.3,104.2833333,427.25,2012.0,-0.970063921851507,273.24136,0.5,-2.06,-29.9,-225.5,-14.492498397827148,-102.84022521972656
