Date	Amount(mm)	d18O	d2H
2002-02-04	14.3	-18.9	-145.1
2002-02-11	5.2	-14.3	-109.3
2002-02-25	22.4	-17.9	-130.9
2002-03-20	10.3	-14.2	-102.9
2002-03-21	6.7	-20.5	-155.8
2002-04-15	7	-10	-69.5
2002-04-29	8.2	-9.4	-66.1
2002-06-17	4.6	-10.7	-78.7
2002-06-19	6.6	-7.3	-52.6
2002-06-24	4.4	-7	-52.3
2002-06-26	4.6	-10.8	-76.1
2002-06-30	25.1	-15.2	-111.4
2002-07-01	6.2	-9.5	-66.9
2002-07-02	6.5	-13.2	-98
2002-07-03	3.2	-11.3	-81.9
2002-07-04	21.3	-11.3	-80.6
2002-07-05	5.6	-8.2	-57.1
2002-07-08	3.2	-7.2	-47.7
2002-07-12	4.7	-7.8	-50.1
2002-07-16	6	-11.5	-78.1
2002-07-18	2.2	-6.9	-50.6
2002-07-22	5.1	-7	-44.8
2002-07-23	5.6	-6.8	-49.8
2002-07-24	6.2	-9	-57.8
2002-07-25	4.5	-11	-79
2002-07-26	4.9	-11.5	-82.7
2002-07-29	2.5	-10.9	-76.8
2002-08-01	7.1	-7	-48.9
2002-08-14	2	-7.4	-52.1
2002-08-15	5.1	-11.2	-77.7
2002-08-28	8.6	-8.2	-53.9
2002-09-02	9.3	-10.7	-77.5
2002-09-08	6.5	-6.8	-43.9
2002-09-23	9.1	-15.2	-97.4
2002-09-30	1.1	-9.4	-67.8
2002-10-01	2.5	-11.1	-78.7
2002-10-05	9.7	-14.8	-100
2002-10-28	19.9	-15.2	-106.6
2002-11-07	6.2	-18.4	-137.4
2002-12-21	4.6	-21.6	-176.5
2002-12-28	11.2	-14.4	-104.6
2003-01-07	1.7	-20.6	-147.8
2003-01-08	1.3	-12.5	-79.3
2003-01-13	6.4	-21.7	-159.8
2003-01-14	4.9	-22.3	-166
2003-01-16	2.1	-17.9	-134.3
2003-01-20	1.8	-16.6	-122.9
2003-01-21	8.9	-24.7	-186.1
2003-01-22	5.7	-18	-140
2003-01-23	1.7	-13.8	-99.7
2003-01-26	12.1	-16.4	-122.9
2003-01-29	1.4	-18.3	-134.4
2003-02-04	2.1	-16	-111.9
2003-02-05	2.1	-23.2	-172.5
2003-02-06	1.9	-23.5	-176.3
2003-03-10	4.4	-15	-116.7
2003-03-11	3.2	-14.7	-113.9
2003-03-31	6.1	-11.4	-82.6
2003-04-02	5.2	-15.4	-109.7
2003-04-03	8.9	-16.6	-120.1
2003-04-06	7.3	-15.3	-119.5
2003-04-11	1.5	-10.5	-67.4
2003-05-01	3.1	-16.7	-130.5
2003-05-09	4.2	-8.4	-56.2
2003-05-12	1.5	-5.1	-44.5
2003-05-15	10.5	-9.1	-64.3
2003-05-19	8.3	-11.8	-92.3
2003-05-20	1.6	-8.9	-62.4
2003-05-21	1.7	-10.4	-73.5
2003-05-23	5.7	-13.9	-102.3
2003-05-26	1.7	-8.1	-66.1
2003-05-27	3.2	-8.1	-60.2
2003-06-02	2.3	-9.8	-77.8
2003-06-06	14.6	-7.5	-57.5
2003-06-09	6.1	-9.2	-66.9
2003-06-16	6.8	-11	-76.1
2003-06-20	1.4	-8.6	-57.8
2003-06-30	1.5	-6.7	-53.4
2003-07-07	34.7	-11.6	-82.7
2003-07-21	48.1	-11.2	-81.3
2003-07-24	27.4	-12.2	-86.2
2003-07-28	10.6	-7.8	-54.2
2003-08-04	19.8	-8.5	-59
2003-08-08	1.6	-9.7	-79.6
2003-08-13	8.3	-7.5	-55.7
2003-08-14	60.9	-11.1	-75.8
2003-08-15	15.4	-11.7	-78.8
2003-08-16	1	-10.7	-75.3
2003-08-20	2	-8.8	-61.6
2003-08-21	6.9	-9.6	-62.5
2003-08-22	2.9	-15.3	-115.6
2003-08-27	5.6	-14.1	-101.6
2003-08-28	3.6	-13.9	-104.4
2003-08-29	2.5	-13.7	-101.8
2003-09-01	11.3	-14.4	-104.7
2003-09-22	1.2	-9	-65.8
2003-09-23	3	-8.5	-56.2
2003-09-24	21.9	-8	-51.8
2003-09-28	13.1	-11.3	-77.4
2003-09-29	2.2	-12.6	-85.1
2003-09-30	1.8	-13.8	-94.3
2003-10-01	4.9	-12.8	-82.9
2003-10-02	0.2	-11.7	-77.4
2003-10-04	5.5	-9.2	-60.9
2003-10-06	8.8	-11.4	-83.1
2003-10-13	1.6	-10.6	-74.7
2003-10-27	1.3	-23.8	-175.8
2003-10-28	4.1	-12.3	-87.3
2003-11-01	7	-14.7	-104.7
2003-11-03	8.7	-17.4	-127.6
2003-11-04	4.3	-11.2	-79.7
2003-11-26	2.1	-11.6	-74.2
2003-11-28	5.2	-13.8	-104.1
2003-12-01	1.8	-9.9	-69.6
2003-12-15	9.7	-19.3	-147.2
2003-12-17	1.6	-21.4	-165.5
2003-12-18	1.7	-17	-125.4
2004-01-07	3.2	-16.2	-118.7
2004-01-08	4.1	-18.3	-137.1
2004-01-13	4	-17.9	-127.9
2004-01-28	5.6	-19.8	-146.7
2004-01-29	2.3	-20.4	-145.8
2004-01-31	8.4	-21.7	-170.3
2004-02-04	10.3	-20.1	-155.7
2004-02-05	2.9	-15.9	-122.2
2004-02-06	1.7	-18.9	-142.7
2004-02-16	1.3	-12.5	-92.9
2004-02-25	13.5	-14.8	-102.7
2004-02-26	2	-11.4	-75.7
2004-03-02	3.2	-12.9	-91.2
2004-03-22	23.8	-16.4	-122.6
2004-03-25	4.6	-18.6	-142.5
2004-05-10	2.7	-4.7	-43.2
2004-05-11	1.9	-10.4	-72
2004-05-13	1.6	-15.7	-109.2
2004-05-14	1.2	-12.2	-83.2
2004-05-21	2.4	-9.4	-76.6
2004-05-31	2.1	-8	-65.4
2004-06-07	7.8	-9.8	-73.1
2004-06-14	10.3	-11.2	-84.4
2004-06-16	2.8	-14.2	-108.5
2004-06-17	3.4	-14.3	-110
2004-06-21	2.5	-13.6	-103.4
2004-06-23	1.8	-8.2	-59.8
2004-06-28	2.3	-8.6	-60.2
2004-06-29	9.8	-10.3	-72
2004-06-30	2.2	-10.5	-76.3
2004-07-01	19.1	-11.1	-76.5
2004-07-02	1.3	-10.7	-75.7
2004-07-05	30	-11.2	-81.2
2004-07-06	12.8	-12.4	-89.7
2004-07-07	3	-12.4	-89.5
2004-07-08	4	-12.6	-90
2004-07-12	3.2	-12.6	-86.5
2004-07-13	1.3	-10.4	-75
2004-07-14	5.4	-11.6	-86.3
2004-07-15	2.3	-10.1	-73.6
2004-07-19	2.7	-10.6	-78.1
2004-07-20	19.9	-11	-79.6
2004-07-21	14.7	-11	-78.3
2004-07-26	17.4	-9	-60.6
2004-07-27	2.4	-8.8	-68.2
2004-08-17	3.8	-10.5	-77.3
2004-08-18	2.1	-11.8	-85
2004-08-20	14.4	-11.8	-84.8
2004-08-23	22.3	-16.1	-117.6
2004-08-27	1.9	-10.1	-67.5
2004-08-28	11	-9.7	-65.2
2004-08-30	2.2	-10.9	-75.4
2004-09-01	16.4	-9.5	-66
2004-09-02	15.8	-9.7	-65.2
2004-09-06	3.2	-7.3	-52.1
2004-09-09	0.6	-9	-71.3
2004-09-13	1.8	-9.2	-65.7
2004-09-14	13.2	-13	-92.1
2004-09-15	0.5	-12.1	-88.3
2004-09-16	15.9	-12.3	-82.1
2004-09-20	8.7	-9.5	-62.6
2004-09-21	9.9	-9.7	-64.9
2004-09-22	28.6	-12.8	-92.6
2004-09-27	10.9	-20.5	-155.9
2004-09-28	6.2	-11	-76.7
2004-10-04	1.2	-10.5	-70.9
2004-10-05	9.7	-9.8	-66.3
2004-10-11	0.5	-11.2	-75.9
2004-10-25	10.4	-14.9	-106.6
2004-10-27	1.6	-14.6	-104.8
2004-11-01	2.2	-13.2	-94.9
2004-11-08	7.5	-14.7	-105.7
2004-11-12	5.7	-19.6	-147.6
2004-11-22	3	-20.1	-129.1
2004-11-25	4.1	-21.1	-157.2
2004-11-29	4.6	-16.4	-107.1
2004-12-06	3.1	-14.9	-103.8
2004-12-07	5.2	-21.1	-164
2004-12-13	2.3	-12.8	-88.7
2004-12-17	5.1	-11.6	-85.2
2004-12-20	6.1	-14.3	-102.4
2004-12-23	10.4	-23.5	-177.3
2004-12-27	11.1	-20.9	-156.3
2005-07-11	8.4	-7.9	-57.9
2005-07-13	8.6	-9.8	-81.1
2005-07-18	1.2	-7.7	-51.4
2005-07-20	1.8	-7	-51.2
2005-07-21	10.3	-10.9	-75.6
2005-07-24	11.6	-12.4	-86.5
2005-07-25	20.1	-13.4	-98.4
2005-07-28	14.5	-8.2	-55.8
2005-08-08	22.3	-9.2	-60.9
2005-08-09	11.8	-7.9	-53
2005-08-11	6.2	-7.7	-52.1
2005-08-12	24.4	-12.4	-88.8
2005-08-15	1.5	-9.9	-70.2
2005-08-26	31	-9.3	-61.3
2005-08-27	15.7	-18.2	-138
2005-08-29	2.5	-8.9	-63.4
2005-08-30	3	-7.7	-54
2005-09-05	1.3	-8.5	-61.3
2005-09-08	1.6	-6.4	-43.5
2005-09-09	0.7	-8	-61.9
2005-09-14	8	-11.8	-91.1
2005-09-15	10.7	-19.1	-149.8
2005-09-19	1.3	-15.2	-111.5
2005-09-21	7.7	-10.1	-70.2
2005-10-03	1.5	-9.3	-61.8
2005-10-10	1.3	-8.2	-54.8
2005-10-14	1.2	-10.8	-73.4
2005-10-21	9.2	-14.9	-103.6
2005-10-26	1.1	-18.1	-124.5
2005-10-27	2.8	-22	-164.9
2005-10-31	7.3	-11	-78.8
2005-11-03	1.2	-8.7	-58.8
2005-11-04	3.7	-9.7	-67.1
2005-11-07	11.6	-19.1	-146.5
2005-11-08	1.4	-12	-86.3
2005-11-10	0.5	-9	-56.7
2005-11-14	1.1	-8.9	-55
2005-11-22	3.6	-19.5	-146.5
2005-11-25	1.5	-9.7	-65.9
2005-11-26	3.2	-14.6	-100.7
2005-11-29	1	-26.6	-198
2005-11-30	5.9	-20.7	-146.6
2005-12-01	1.4	-18.9	-145
2005-12-12	5.8	-18.1	-137.8
2005-12-19	2.1	-21	-150.7
2005-12-20	0.6	-19	-132.4
2005-12-21	1.8	-18	-126.8
2005-12-22	5.4	-16.2	-120.1
2005-12-25	20.2	-18.2	-139
2005-12-27	1.6	-18.3	-130.4
2005-12-31	8.5	-15.8	-113.3
2006-01-02	4.7	-20.3	-150.3
2006-01-17	1.5	-10.1	-67.8
2006-01-18	2	-13.5	-88.4
2006-01-22	2.4	-19.6	-129.5
2006-01-24	1.7	-12.8	-95.6
2006-01-26	3	-16.7	-126.2
2006-01-31	3	-19.1	-146.7
2006-02-01	1	-13.2	-99.1
2006-02-07	7.7	-20.5	-149.6
2006-02-08	1.7	-15	-107.6
2006-02-09	2.2	-17.8	-125.5
2006-02-17	1.8	-13.4	-89.3
2006-02-20	1.9	-14.2	-96.7
2006-03-02	1.6	-25	-184.2
2006-03-06	1.5	-26.5	-200.7
2006-03-28	6.8	-19.5	-146.7
2006-03-29	7.3	-19.8	-150.4
2006-03-31	4.1	-25.5	-197.8
2006-04-04	0.7	-21.1	-171.1
2006-04-06	1.9	-21	-161
2006-04-07	3.9	-18.1	-138.3
2006-04-10	8.8	-12	-82.6
2006-04-11	7.6	-17.9	-130.9
2006-04-14	5.6	-9.5	-65.9
2006-04-18	10	-12.3	-87.8
2006-05-12	2.5	-6.4	-47.9
2006-05-15	3.2	-15.7	-113.2
2006-05-19	3.2	-12.6	-89.8
2006-05-23	2.7	-9.8	-74.7
2006-05-24	7.6	-11	-78.7
2006-05-26	6.7	-17.5	-135.5
2006-05-29	10.5	-14.2	-105.6
2006-05-30	10.6	-11.8	-82
2006-05-31	1.1	-11.3	-86.8
2006-06-05	5.4	-14.4	-115.8
2006-06-20	4.8	-5.8	-36.5
2006-06-21	7.2	-7.1	-44.2
2006-06-26	3	-8.6	-58
2006-07-07	8.2	-7.9	-49.9
2006-07-11	7.4	-8.3	-58.5
2006-07-13	2.1	-7.1	-51.8
2006-07-18	0.9	-8	-60.1
2006-08-16	9	-10.2	-68.1
2006-08-17	23.6	-12.6	-89.4
2006-08-18	1.2	-11.4	-81.9
2006-08-28	5.4	-10	-72
2006-08-29	9.1	-14.3	-107.7
2006-09-04	26	-8.8	-58.4
2006-09-05	15.3	-11.5	-82.5
2006-09-07	2.2	-10.9	-80.7
2006-09-08	18.4	-14.5	-104.9
2006-09-21	1.7	-10.6	-76.3
2006-09-26	9.4	-9.8	-59.8
2006-09-27	1.5	-9	-59
2006-09-28	18.4	-10.4	-69.2
2006-10-01	4.4	-16.3	-114.4
2006-10-02	17.8	-12.5	-87.1
2006-10-03	7.2	-10.5	-72.7
2006-10-05	18.8	-11.7	-82.7
2006-10-08	15.5	-10.1	-69.1
2006-10-09	1.9	-9.3	-65
2006-10-11	0.5	-12.9	-93.7
2006-10-16	4.3	-9.7	-69.6
2006-10-20	5.2	-25	-188.4
2006-10-22	3.6	-15.7	-115.6
2006-10-23	5.5	-20.2	-147.7
2006-10-24	9	-13.1	-87.5
2006-10-27	14.1	-23	-175.8
2006-10-29	10	-25	-189.6
2006-11-06	19.9	-16.1	-114.9
2006-11-13	18.2	-17.8	-128.4
2006-11-17	8.7	-16.8	-123.4
2006-11-22	7.5	-12.8	-90.1
2006-11-30	7.5	-10.5	-72.5
2006-12-08	9.3	-17.3	-129.7
2006-12-15	3.2	-15	-112.9
2006-12-21	4.5	-15.6	-115.2
2006-12-29	4.3	-8.5	-52.5
2007-01-02	9	-15	-112.3
2007-01-05	10.8	-15.6	-121
2007-01-08	2.1	-13.5	-99.2
2007-01-09	5.4	-14.9	-112.4
2007-01-10	6.7	-18	-142.9
2007-01-15	4.9	-16.3	-118.4
2007-01-16	1.9	-13.5	-97.6
2007-01-17	1.5	-18.2	-138.1
2007-01-19	1.6	-29.8	-224.9
2007-01-31	3.2	-18.2	-131.5
2007-02-02	4.3	-18.2	-137.8
2007-02-19	10.6	-20.4	-155.1
2007-02-26	2.4	-16.1	-109.3
2007-03-01	1.9	-18	-126.1
2007-03-07	1.3	-15.4	-110.4
2007-03-09	10.4	-19.3	-148.5
2007-03-12	4.6	-14.4	-109.7
2007-03-16	7.7	-13.4	-105.2
2007-03-19	10.7	-19.1	-146.3
2007-03-20	1.8	-19.5	-145.8
2007-04-11	2.2	-12.2	-90
2007-04-25	1.3	-11.4	-96.8
2007-05-09	6.5	-13.9	-106
2007-05-10	2.1	-14	-108.6
2007-05-14	0.9	-10	-78
2007-05-15	11.5	-11.8	-86.5
2007-05-16	5.4	-15.2	-113.6
2007-05-21	6.7	-6	-51.2
2007-06-14	16.3	-16.3	-118.1
2007-06-26	12.3	-12.3	-87.4
2007-07-02	2.4	-9	-62.7
2007-07-09	4.2	-9.2	-65.5
2007-07-10	7.8	-10.6	-73.7
2007-07-11	1.7	-8.7	-59.9
2007-07-13	4	-12.1	-90.7
2007-07-16	2.2	-11.9	-91.7
2007-07-18	7.7	-8.4	-54.8
2007-07-19	4	-11.3	-84.6
2007-07-20	2.5	-11.5	-84.2
2007-07-30	30.7	-9.8	-68.4
2007-07-31	3.7	-9.8	-70.3
2007-08-01	23.5	-14.9	-112.2
2007-08-03	14.7	-11	-83.4
2007-08-16	6	-7.8	-47.5
2007-08-17	7.1	-7.4	-53.9
2007-08-20	6.2	-13.2	-104.5
2007-08-27	11.1	-11.1	-73
2007-08-29	13.5	-15.5	-113
2007-09-03	4.8	-15.1	-104.3
2007-09-04	8.4	-16.2	-119.7
2007-09-11	4.8	-10.9	-75.2
2007-09-12	4.4	-11.7	-85.1
2007-09-19	14	-12.9	-94.7
2007-09-26	5.1	-8	-52.9
2007-10-01	7.3	-8.9	-57.6
2007-10-02	3.9	-12.3	-86.5
2007-10-07	2	-11.3	-80.1
2007-10-08	2.9	-11	-78.1
2007-10-15	3.3	-10.8	-79.4
2007-10-17	0.9	-7.8	-53
2007-10-22	1.6	-13.6	-98.8
2007-10-23	0.9	-7.4	-50.6
2007-10-29	7.6	-9.8	-66.6
2007-11-05	12.5	-18.3	-133.8
2007-11-06	2.5	-11.7	-79.6
2007-11-09	14.2	-14	-101.5
2007-11-12	8	-20	-149.1
2007-11-15	2.2	-17.8	-122.8
2007-11-19	4.5	-17	-128.8
2007-11-26	7.2	-18.9	-141.3
2007-12-03	9.6	-16.5	-122.1
2007-12-04	1.8	-13.4	-94.2
2007-12-06	7.5	-15.9	-122.5
2007-12-10	14.2	-20	-154.1
2007-12-11	3	-15.9	-114.7
2007-12-27	4.8	-17.3	-128.9
2007-12-31	9.2	-14.2	-113.2
2008-01-07	2.3	-15.2	-102.4
2008-01-10	3.7	-12.9	-90.2
2008-01-11	5.2	-22.8	-177.4
2008-01-14	11.5	-19.1	-145.8
2008-01-15	2.3	-14.2	-105.4
2008-01-16	1.6	-14	-103
2008-01-17	6.3	-15.4	-117.5
2008-01-18	2.7	-13.6	-100.5
2008-01-21	17.1	-19.1	-147
2008-01-22	2	-16.5	-122.7
2008-01-24	6.1	-16.1	-127
2008-01-25	3.8	-17.8	-135.1
2008-02-01	12.9	-13.2	-93.5
2008-02-04	16.1	-13.4	-93.8
2008-02-06	1.9	-10.5	-71
2008-02-22	4.7	-14	-107
2008-02-25	1.8	-13.3	-99.5
2008-02-27	1.9	-23	-177.2
2008-02-28	1.6	-27.6	-213.5
2008-02-29	1.5	-18.1	-129
2008-03-03	5.3	-14.8	-104.9
2008-03-04	2.1	-24.5	-188.4
2008-03-06	4.1	-16.5	-122.7
2008-03-07	7	-18.4	-136.9
2008-03-10	11.9	-13.8	-100.7
2008-03-11	2.6	-16.4	-124.5
2008-03-17	1.8	-18	-133.4
2008-03-18	2.9	-21.3	-162.8
2008-03-27	2.1	-18.4	-130
2008-04-03	3.6	-9.8	-64.6
2008-04-07	8.8	-10.4	-71.9
2008-04-08	0.8	-11.4	-77.9
2008-04-09	5.5	-15.8	-114.8
2008-04-10	2.6	-15.2	-107.8
2008-04-14	9.8	-19	-143.3
2008-05-07	1.5	-9.1	-71.8
2008-06-09	5.6	-9.3	-68.2
2008-06-10	16.5	-11.8	-82.6
2008-06-11	10.5	-13.2	-97.3
2008-06-12	0.5	-12.4	-90.2
2008-06-13	7.6	-12.3	-88.3
2008-06-18	0.2	-9.4	-72.6
2008-06-23	4.3	-8	-60.3
