Date	Location 	Type	d18O	d2H
21/06/2016	Pallas	Rainfall	-11.59	-83.56
05/07/2016	Pallas	Rainfall	-9.4	-64.38
19/07/2016	Pallas	Rainfall	-9.89	-68.71
02/08/2016	Pallas	Rainfall	-10.96	-77.22
15/08/2016	Pallas	Rainfall	-13.67	-98.09
17/08/2016	Pallas	Rainfall	-14.55	-106.55
30/08/2016	Pallas	Rainfall	-14.42	-103.89
13/09/2016	Pallas	Rainfall	-11.66	-85.59
04/10/2016	Pallas	Rainfall	-12.49	-88.71
04/07/2017	Pallas	Rainfall	-12.5	-94.6
18/07/2017	Pallas	Rainfall	-13.1	-93.3
01/08/2017	Pallas	Rainfall	-11.1	-82.5
10/08/2017	Pallas	Rainfall	-11.7	-87.9
16/08/2017	Pallas	Rainfall	-8.96	-66.3
12/09/2017	Pallas	Rainfall	-12.83	-93.77
11/10/2017	Pallas	Rainfall	-15.98	-117.17
02/11/2017	Pallas	Snowfall	-20.3	-151.1
08/12/2017	Pallas	Snowfall	-19.7	-143.7
09/12/2017	Pallas	Snowfall	-22.3	-168.3
20/01/2018	Pallas	Snowfall	-23.7	-179.5
03/02/2018	Pallas	Snowfall	-14.1	-102.5
23/02/2018	Pallas	Snowfall	-14.1	-90.7
28/02/2018	Pallas	Snowfall	-16.5	-110.9
09/03/2018	Pallas	Snowfall	-20.4	-147.1
11/03/2018	Pallas	Snowfall	-22.7	-169
21/03/2018	Pallas	Snowfall	-16.8	-120.1
06/04/2018	Pallas	Snowfall	-22.95	-179.29
09/04/2018	Pallas	Snowfall	-17.4	-125.37
18/06/2018	Pallas	Rainfall	-7.3	-60.2
19/06/2018	Pallas	Rainfall	-9.82	-71.74
20/06/2018	Pallas	Rainfall	-13.7	-107.42
25/06/2018	Pallas	Rainfall	-15.4	-119.01
04/07/2018	Pallas	Rainfall	-8.48	-64.28
01/08/2018	Pallas	Rainfall	-7.43	-57.22
03/08/2018	Pallas	Rainfall	-8.36	-53.2
07/08/2018	Pallas	Rainfall	-9.12	-61.26
05/10/2018	Pallas	Snowfall	-24.41	-183.95
17/12/2018	Pallas	Snowfall	-19.39	-145.11
17/12/2018	Pallas	Snowfall	-18.85	-139.28
20/12/2018	Pallas	Snowfall	-18.3	-131.22
21/12/2018	Pallas	Snowfall	-22.11	-165.4
03/01/2019	Pallas	Snowfall	-18.79	-143.4
03/01/2019	Pallas	Snowfall	-19.85	-149.39
11/01/2019	Pallas	Snowfall	-12.4	-83.12
14/01/2019	Pallas	Snowfall	-29.63	-227.59
15/01/2019	Pallas	Snowfall	-22.88	-172.57
17/01/2019	Pallas	Snowfall	-23.34	-177.73
22/01/2019	Pallas	Snowfall	-28.93	-218.4
25/01/2019	Pallas	Snowfall	-22.84	-157.99
31/01/2019	Pallas	Snowfall	-25.11	-190.55
11/02/2019	Pallas	Snowfall	-24.57	-182.42
15/02/2019	Pallas	Snowfall	-17.51	-135.13
18/02/2019	Pallas	Snowfall	-15.13	-113.31
03/05/2019	Pallas	Rainfall	-17.48	-130.4
08/05/2019	Pallas	Rainfall	-20.39	-151.65
09/05/2019	Pallas	Rainfall	-16.02	-131.64
12/05/2019	Pallas	Rainfall	-8.86	-60.05
12/05/2019	Pallas	Rainfall	-17	-123.83
13/05/2019	Pallas	Rainfall	-10.03	-70.31
13/05/2019	Pallas	Rainfall	-11.09	-80.08
