Date,Amount(mm),d18O,d2H,Location,Type,Lat,Lon
2002-02-04,14.3,-18.9,-145.1,Krycklan,Precipitation,64.233333,19.766667
2002-02-11,5.2,-14.3,-109.3,Krycklan,Precipitation,64.233333,19.766667
2002-02-25,22.4,-17.9,-130.9,Krycklan,Precipitation,64.233333,19.766667
2002-03-20,10.3,-14.2,-102.9,Krycklan,Precipitation,64.233333,19.766667
2002-03-21,6.7,-20.5,-155.8,Krycklan,Precipitation,64.233333,19.766667
2002-04-15,7.0,-10.0,-69.5,Krycklan,Precipitation,64.233333,19.766667
2002-04-29,8.2,-9.4,-66.1,Krycklan,Precipitation,64.233333,19.766667
2002-06-17,4.6,-10.7,-78.7,Krycklan,Precipitation,64.233333,19.766667
2002-06-19,6.6,-7.3,-52.6,Krycklan,Precipitation,64.233333,19.766667
2002-06-24,4.4,-7.0,-52.3,Krycklan,Precipitation,64.233333,19.766667
2002-06-26,4.6,-10.8,-76.1,Krycklan,Precipitation,64.233333,19.766667
2002-06-30,25.1,-15.2,-111.4,Krycklan,Precipitation,64.233333,19.766667
2002-07-01,6.2,-9.5,-66.9,Krycklan,Precipitation,64.233333,19.766667
2002-07-02,6.5,-13.2,-98.0,Krycklan,Precipitation,64.233333,19.766667
2002-07-03,3.2,-11.3,-81.9,Krycklan,Precipitation,64.233333,19.766667
2002-07-04,21.3,-11.3,-80.6,Krycklan,Precipitation,64.233333,19.766667
2002-07-05,5.6,-8.2,-57.1,Krycklan,Precipitation,64.233333,19.766667
2002-07-08,3.2,-7.2,-47.7,Krycklan,Precipitation,64.233333,19.766667
2002-07-12,4.7,-7.8,-50.1,Krycklan,Precipitation,64.233333,19.766667
2002-07-16,6.0,-11.5,-78.1,Krycklan,Precipitation,64.233333,19.766667
2002-07-18,2.2,-6.9,-50.6,Krycklan,Precipitation,64.233333,19.766667
2002-07-22,5.1,-7.0,-44.8,Krycklan,Precipitation,64.233333,19.766667
2002-07-23,5.6,-6.8,-49.8,Krycklan,Precipitation,64.233333,19.766667
2002-07-24,6.2,-9.0,-57.8,Krycklan,Precipitation,64.233333,19.766667
2002-07-25,4.5,-11.0,-79.0,Krycklan,Precipitation,64.233333,19.766667
2002-07-26,4.9,-11.5,-82.7,Krycklan,Precipitation,64.233333,19.766667
2002-07-29,2.5,-10.9,-76.8,Krycklan,Precipitation,64.233333,19.766667
2002-08-01,7.1,-7.0,-48.9,Krycklan,Precipitation,64.233333,19.766667
2002-08-14,2.0,-7.4,-52.1,Krycklan,Precipitation,64.233333,19.766667
2002-08-15,5.1,-11.2,-77.7,Krycklan,Precipitation,64.233333,19.766667
2002-08-28,8.6,-8.2,-53.9,Krycklan,Precipitation,64.233333,19.766667
2002-09-02,9.3,-10.7,-77.5,Krycklan,Precipitation,64.233333,19.766667
2002-09-08,6.5,-6.8,-43.9,Krycklan,Precipitation,64.233333,19.766667
2002-09-23,9.1,-15.2,-97.4,Krycklan,Precipitation,64.233333,19.766667
2002-09-30,1.1,-9.4,-67.8,Krycklan,Precipitation,64.233333,19.766667
2002-10-01,2.5,-11.1,-78.7,Krycklan,Precipitation,64.233333,19.766667
2002-10-05,9.7,-14.8,-100.0,Krycklan,Precipitation,64.233333,19.766667
2002-10-28,19.9,-15.2,-106.6,Krycklan,Precipitation,64.233333,19.766667
2002-11-07,6.2,-18.4,-137.4,Krycklan,Precipitation,64.233333,19.766667
2002-12-21,4.6,-21.6,-176.5,Krycklan,Precipitation,64.233333,19.766667
2002-12-28,11.2,-14.4,-104.6,Krycklan,Precipitation,64.233333,19.766667
2003-01-07,1.7,-20.6,-147.8,Krycklan,Precipitation,64.233333,19.766667
2003-01-08,1.3,-12.5,-79.3,Krycklan,Precipitation,64.233333,19.766667
2003-01-13,6.4,-21.7,-159.8,Krycklan,Precipitation,64.233333,19.766667
2003-01-14,4.9,-22.3,-166.0,Krycklan,Precipitation,64.233333,19.766667
2003-01-16,2.1,-17.9,-134.3,Krycklan,Precipitation,64.233333,19.766667
2003-01-20,1.8,-16.6,-122.9,Krycklan,Precipitation,64.233333,19.766667
